,Y,v1,v2,idx1,idx2
0,FutRet,fGom,sEp,20,825
1,FutRet,DSpot,OilVol,45,461
2,FutRet,OilVol,FutRet,77,361
3,FutRet,OilVol,StikIdx,80,571
4,FutRet,WIPI_8wk,OilVol,132,463
5,FutRet,fCo,sCo,148,803
6,FutRet,fEp,fEnv,150,686
7,FutRet,fEpg,fBbl,152,671
8,FutRet,fGom,sRpc,153,853
9,FutRet,sBbl,sCo,164,165
10,FutRet,sCo,sBbl,165,164
11,FutRet,sEnv,entropy,166,665
12,FutRet,sEnv,fEpg,168,711
13,FutRet,sEnv,sCo,169,809
14,FutRet,sEnv,sEp,170,829
15,FutRet,sGom,entropy,172,667
16,FutRet,sGom,fGom,173,725
17,FutRet,sRpc,fEp,175,703
18,FutRet,sRpc,sEnv,176,818
19,FutRet,DFX,OilVol,252,459
20,FutRet,DInv,tnote_10y,280,889
21,FutRet,DOilVol,DSpot,283,324
22,FutRet,DProd,OilVol,305,460
23,FutRet,DProd,tnote_10y,323,890
24,FutRet,DSpot,DOilVol,324,283
25,FutRet,FutRet,OilVol,361,77
26,FutRet,FutRet,basis,366,619
27,FutRet,OilVol,DFX,459,252
28,FutRet,OilVol,DProd,460,305
29,FutRet,OilVol,DSpot,461,45
30,FutRet,OilVol,WIPI_8wk,463,132
31,FutRet,OilVol,bpRet,465,640
32,FutRet,OilVol,liquidity,467,742
33,FutRet,OilVol,rdsaRet,468,779
34,FutRet,OilVol,tnote_10y,470,892
35,FutRet,OilVol,xomRet,471,946
36,FutRet,StikIdx,OilVol,571,80
37,FutRet,StikIdx,sp500Ret,589,864
38,FutRet,StikIdx,tnote_10y,590,893
39,FutRet,WIPI_8wk,rdsaRet,601,783
40,FutRet,WIPI_8wk,tnote_10y,608,894
41,FutRet,artcount,fCo,612,677
42,FutRet,artcount,fEp,613,693
43,FutRet,artcount,fEpg,614,704
44,FutRet,artcount,fGom,615,714
45,FutRet,artcount,sBbl,616,794
46,FutRet,artcount,sEpg,617,833
47,FutRet,basis,FutRet,619,366
48,FutRet,bpRet,OilVol,640,465
49,FutRet,bpRet,tnote_10y,657,897
50,FutRet,entropy,fRpc,662,726
51,FutRet,entropy,sBbl,663,795
52,FutRet,entropy,sEnv,665,166
53,FutRet,entropy,sEpg,666,834
54,FutRet,entropy,sGom,667,172
55,FutRet,fBbl,fCo,669,679
56,FutRet,fBbl,fEnv,670,684
57,FutRet,fBbl,fEpg,671,152
58,FutRet,fBbl,fGom,672,715
59,FutRet,fBbl,fRpc,673,727
60,FutRet,fBbl,sEp,674,822
61,FutRet,fBbl,sEpg,675,835
62,FutRet,fBbl,sRpc,676,851
63,FutRet,fCo,artcount,677,612
64,FutRet,fCo,fBbl,679,669
65,FutRet,fCo,fEp,680,696
66,FutRet,fCo,fRpc,681,728
67,FutRet,fCo,sEnv,682,814
68,FutRet,fCo,sGom,683,844
69,FutRet,fEnv,fBbl,684,670
70,FutRet,fEnv,fEp,686,150
71,FutRet,fEnv,fGom,688,717
72,FutRet,fEnv,fRpc,689,729
73,FutRet,fEnv,sCo,690,804
74,FutRet,fEnv,sEnv,691,815
75,FutRet,fEp,artcount,693,613
76,FutRet,fEp,fCo,696,680
77,FutRet,fEp,fEpg,697,706
78,FutRet,fEp,fGom,698,718
79,FutRet,fEp,fRpc,699,730
80,FutRet,fEp,sBbl,700,797
81,FutRet,fEp,sEpg,701,836
82,FutRet,fEp,sRpc,703,175
83,FutRet,fEpg,artcount,704,614
84,FutRet,fEpg,fEp,706,697
85,FutRet,fEpg,fGom,707,719
86,FutRet,fEpg,fRpc,708,731
87,FutRet,fEpg,sCo,710,806
88,FutRet,fEpg,sEnv,711,168
89,FutRet,fEpg,sEpg,713,837
90,FutRet,fGom,artcount,714,615
91,FutRet,fGom,fBbl,715,672
92,FutRet,fGom,fEnv,717,688
93,FutRet,fGom,fEp,718,698
94,FutRet,fGom,fEpg,719,707
95,FutRet,fGom,fRpc,720,732
96,FutRet,fGom,sBbl,721,798
97,FutRet,fGom,sCo,722,807
98,FutRet,fGom,sEpg,724,838
99,FutRet,fGom,sGom,725,173
100,FutRet,fRpc,entropy,726,662
101,FutRet,fRpc,fBbl,727,673
102,FutRet,fRpc,fCo,728,681
103,FutRet,fRpc,fEnv,729,689
104,FutRet,fRpc,fEp,730,699
105,FutRet,fRpc,fEpg,731,708
106,FutRet,fRpc,fGom,732,720
107,FutRet,fRpc,sCo,734,808
108,FutRet,fRpc,sEp,735,826
109,FutRet,liquidity,OilVol,742,467
110,FutRet,liquidity,tnote_10y,760,901
111,FutRet,rdsaRet,OilVol,779,468
112,FutRet,rdsaRet,WIPI_8wk,783,601
113,FutRet,sBbl,artcount,794,616
114,FutRet,sBbl,entropy,795,663
115,FutRet,sBbl,fEp,797,700
116,FutRet,sBbl,fGom,798,721
117,FutRet,sBbl,sEnv,799,817
118,FutRet,sBbl,sEp,800,827
119,FutRet,sBbl,sEpg,801,839
120,FutRet,sCo,fCo,803,148
121,FutRet,sCo,fEnv,804,690
122,FutRet,sCo,fEpg,806,710
123,FutRet,sCo,fGom,807,722
124,FutRet,sCo,fRpc,808,734
125,FutRet,sCo,sEnv,809,169
126,FutRet,sCo,sEp,810,828
127,FutRet,sCo,sGom,812,847
128,FutRet,sEnv,fCo,814,682
129,FutRet,sEnv,fEnv,815,691
130,FutRet,sEnv,sBbl,817,799
131,FutRet,sEnv,sRpc,818,176
132,FutRet,sEp,fBbl,822,674
133,FutRet,sEp,fGom,825,20
134,FutRet,sEp,fRpc,826,735
135,FutRet,sEp,sBbl,827,800
136,FutRet,sEp,sCo,828,810
137,FutRet,sEp,sEnv,829,170
138,FutRet,sEpg,artcount,833,617
139,FutRet,sEpg,entropy,834,666
140,FutRet,sEpg,fBbl,835,675
141,FutRet,sEpg,fEp,836,701
142,FutRet,sEpg,fEpg,837,713
143,FutRet,sEpg,fGom,838,724
144,FutRet,sEpg,sBbl,839,801
145,FutRet,sGom,fCo,844,683
146,FutRet,sGom,sCo,847,812
147,FutRet,sRpc,fBbl,851,676
148,FutRet,sRpc,fGom,853,153
149,FutRet,sp500Ret,StikIdx,864,589
150,FutRet,sp500Ret,tnote_10y,886,906
151,FutRet,sp500Ret,xomRet,887,963
152,FutRet,tnote_10y,DInv,889,280
153,FutRet,tnote_10y,DProd,890,323
154,FutRet,tnote_10y,OilVol,892,470
155,FutRet,tnote_10y,StikIdx,893,590
156,FutRet,tnote_10y,WIPI_8wk,894,608
157,FutRet,tnote_10y,bpRet,897,657
158,FutRet,tnote_10y,liquidity,901,760
159,FutRet,tnote_10y,sp500Ret,906,886
160,FutRet,xomRet,OilVol,946,471
161,FutRet,xomRet,sp500Ret,963,887
162,bpRet,sEnv,fRpc,35,836
163,bpRet,DInv,tnote_10y,82,970
164,bpRet,DProd,WIPI_8wk,87,700
165,bpRet,StikIdx,basis,171,201
166,bpRet,StikIdx,xomRet,182,1039
167,bpRet,WIPI_8wk,DInv,183,371
168,bpRet,artcount,fEpg,195,810
169,bpRet,artcount,sBbl,197,875
170,bpRet,basis,DInv,198,373
171,bpRet,basis,StikIdx,201,171
172,bpRet,entropy,artcount,219,717
173,bpRet,entropy,sCo,221,884
174,bpRet,fBbl,artcount,222,718
175,bpRet,fBbl,fRpc,223,831
176,bpRet,fCo,sEpg,225,913
177,bpRet,fEnv,fCo,226,784
178,bpRet,fGom,artcount,230,720
179,bpRet,fRpc,fEp,232,805
180,bpRet,liquidity,bpRet,239,759
181,bpRet,rdsaRet,WIPI_8wk,249,707
182,bpRet,sBbl,entropy,258,770
183,bpRet,sBbl,fBbl,259,778
184,bpRet,sCo,sRpc,262,932
185,bpRet,sEnv,artcount,263,722
186,bpRet,sEp,fBbl,264,780
187,bpRet,sEpg,fGom,266,828
188,bpRet,sEpg,fRpc,267,838
189,bpRet,sRpc,fBbl,272,783
190,bpRet,sRpc,fCo,273,791
191,bpRet,DFX,FutRet,348,467
192,bpRet,DFX,StikIdx,352,686
193,bpRet,DFX,WIPI_8wk,353,699
194,bpRet,DFX,basis,355,727
195,bpRet,DFX,bpRet,356,746
196,bpRet,DFX,xomRet,367,1033
197,bpRet,DInv,WIPI_8wk,371,183
198,bpRet,DInv,basis,373,198
199,bpRet,DInv,bpRet,374,747
200,bpRet,DInv,sp500Ret,386,943
201,bpRet,DInv,xomRet,388,1034
202,bpRet,DOilVol,OilVol,390,568
203,bpRet,DOilVol,bpRet,396,748
204,bpRet,DProd,OilVol,406,569
205,bpRet,DProd,bpRet,409,749
206,bpRet,DProd,sp500Ret,421,944
207,bpRet,DProd,xomRet,422,1036
208,bpRet,DSpot,OilVol,425,570
209,bpRet,DSpot,StikIdx,429,687
210,bpRet,DSpot,basis,432,729
211,bpRet,DSpot,bpRet,433,750
212,bpRet,DSpot,tnote_10y,449,971
213,bpRet,FutRet,DFX,467,348
214,bpRet,FutRet,OilVol,470,571
215,bpRet,FutRet,StikIdx,472,688
216,bpRet,FutRet,basis,475,730
217,bpRet,FutRet,liquidity,484,842
218,bpRet,FutRet,sp500Ret,492,946
219,bpRet,FutRet,tnote_10y,493,972
220,bpRet,OilVol,DOilVol,568,390
221,bpRet,OilVol,DProd,569,406
222,bpRet,OilVol,DSpot,570,425
223,bpRet,OilVol,FutRet,571,470
224,bpRet,OilVol,StikIdx,575,689
225,bpRet,OilVol,WIPI_8wk,576,701
226,bpRet,OilVol,bpRet,578,751
227,bpRet,OilVol,rdsaRet,581,861
228,bpRet,OilVol,sp500Ret,589,947
229,bpRet,OilVol,xomRet,590,1038
230,bpRet,StikIdx,DFX,686,352
231,bpRet,StikIdx,DSpot,687,429
232,bpRet,StikIdx,FutRet,688,472
233,bpRet,StikIdx,OilVol,689,575
234,bpRet,StikIdx,bpRet,691,752
235,bpRet,StikIdx,rdsaRet,695,862
236,bpRet,StikIdx,sp500Ret,697,949
237,bpRet,StikIdx,tnote_10y,698,977
238,bpRet,WIPI_8wk,DFX,699,353
239,bpRet,WIPI_8wk,DProd,700,87
240,bpRet,WIPI_8wk,OilVol,701,576
241,bpRet,WIPI_8wk,basis,702,733
242,bpRet,WIPI_8wk,bpRet,703,753
