"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,sBbl,1,entropy,1
1.0,0.0,0.0,1.0,0.0,1.0,1.0,2,6->7,basis,0,sCo,1
1.0,0.0,0.0,1.0,1.0,0.0,1.0,2,4->5,DProd,0,PCAall,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,DProd,0,sRpc,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,vix_diff,0,DFX,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,StikIdx,0,sCo,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1->2,sEnv,1,artcount,1
1.0,1.0,0.0,0.0,1.0,1.0,1.0,3,5->7,DProd,0,sp500Ret,0
1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,1->3,OpenInt,0,sRpc,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,Mom,0,sRpc,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,sGom,1,fEp,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,vix_diff,0,fEnv,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,sBbl,1,fRpc,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DOilVol,0,sEp,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,fEp,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,vix_diff,0,sBbl,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,vix_diff,0,sEnv,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1->1; 4->4,BEME,0,fGom,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,StikIdx,0,artcount,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,StikIdx,0,fRpc,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,xomRet,0,artcount,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,OpenInt,0,fRpc,1
1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1->2; 6->7,DOilVol,0,sCo,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,OpenInt,0,DOilVol,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,vix_diff,0,xomRet,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,HedgPres,0,DOilVol,0
1.0,0.0,0.0,1.0,1.0,0.0,1.0,2,4->5,fBbl,1,sCo,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3,5->7,xomRet,0,sCo,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,DProd,0,PCAfreq,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,fEp,1,sCo,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,xomRet,0,fGom,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1->1; 4->4,sGom,1,sCo,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,BasMom,0,trend,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,basis,0,artcount,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,fGom,1,fEp,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,artcount,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,vix_diff,0,sp500Ret,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,liquidity,0,sCo,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DFX,0,artcount,1
