"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,sBbl,1,entropy,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,4->6,tnote_10y,0,fEpg,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3,5->7,sEp,1,fGom,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,artcount,1,sEpg,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,artcount,1,fEpg,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,artcount,1,sBbl,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,tnote_10y,0,sEpg,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,fEpg,1,entropy,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,fEpg,1,sCo,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,fEpg,1,fGom,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,fEpg,1,sEpg,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,fEpg,1,sBbl,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,fEpg,1,sEp,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,artcount,1,fGom,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,sBbl,1,sEp,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,entropy,1,sEpg,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,entropy,1,fGom,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,sBbl,1,sEpg,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,sBbl,1,fEnv,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,entropy,1,artcount,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,sBbl,1,fGom,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,sEp,1,sEnv,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,tnote_10y,0,sEp,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,sEp,1,sEpg,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,sEpg,1,fGom,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,sCo,1,sEpg,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,basis,0,sEp,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,basis,0,sEpg,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,basis,0,fEpg,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,sent,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,liquidity,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,xomRet,0,artcount,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,xomRet,0,fGom,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,xomRet,0,sBbl,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,OilVol,0,liquidity,0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,DProd,0,OilVol,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,xomRet,0,sEpg,1
1.0,0.0,0.0,1.0,0.0,1.0,1.0,2,6->7,OilVol,0,entropy,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,OilVol,0,fRpc,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1->3,DProd,0,sCo,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,sEp,1,artcount,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,xomRet,0,fEpg,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,DProd,0,sEp,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,sEpg,1
1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,1->2; 5->6,DProd,0,tnote_10y,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,DProd,0,sBbl,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,fEpg,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,DProd,0,basis,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,artcount,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,entropy,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,fCo,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,fGom,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,InflaBeta,0,sp500Ret,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3,5->7,PCAfreq,1,sRpc,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,vix_diff,0,fGom,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,artcount,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1->1; 4->4,HedgPres,0,OilVol,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,vix_diff,0,sEpg,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,sBbl,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,fEpg,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1->2,basis,0,fBbl,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,liquidity,0,sEp,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,xomRet,0,DProd,0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,4->5,HedgPres,0,basis,0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,bpRet,0,sEp,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,DProd,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,FutRet,0,PCAsent,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,OilVol,0,xomRet,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,HedgPres,0,sent,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,PCAfreq,1,fBbl,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,xomRet,0,DOilVol,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,artcount,1,fBbl,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,tnote_10y,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,sp500Ret,0,sent,1
1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1->3,fBbl,1,sCo,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DProd,0,DInv,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,liquidity,0,sent,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,sp500Ret,0,fBbl,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,HedgPres,0,entropy,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3,5->7,HedgPres,0,artcount,1
1.0,0.0,0.0,1.0,1.0,0.0,0.0,2,4->5,HedgPres,0,fGom,1
