"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,DProd,0,fGom,1
1.0,1.0,0.0,0.0,0.0,1.0,1.0,2,1->2; 6->7,bpRet,0,sp500Ret,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,trend,0,sRpc,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,DolBeta,0,fRpc,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,DolBeta,0,PCAfreq,1
1.0,1.0,1.0,0.0,0.0,0.0,1.0,3,1->3,BEME,0,sEp,1
1.0,1.0,0.0,1.0,0.0,1.0,1.0,2,1->2; 6->7,bpRet,0,sEp,1
1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,liquidity,0,sp500Ret,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,HedgPres,0,DProd,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,fGom,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,vix_diff,0,entropy,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,vix_diff,0,sCo,1
1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,5->6,vix_diff,0,fCo,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,vix_diff,0,sEpg,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,basis,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,vix_diff,0,fRpc,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,vix_diff,0,sEp,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,vix_diff,0,fEp,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,PCAfreq,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,vix_diff,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,DInv,0,DOilVol,0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1->1; 4->4; 7->7,HedgPres,0,entropy,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,OpenInt,0,fRpc,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,OpenInt,0,PCAfreq,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,HedgPres,0,sCo,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,HedgPres,0,basis,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,HedgPres,0,PCAfreq,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,HedgPres,0,fGom,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,HedgPres,0,tnote_10y,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,HedgPres,0,fRpc,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1->3,HedgPres,0,fEp,1
1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1->2,OpenInt,0,fEp,1
1.0,0.0,0.0,0.0,0.0,1.0,1.0,2,6->7,OpenInt,0,sp500Ret,0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1->2,bpRet,0,PCAfreq,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1->2,liquidity,0,WIPI_8wk,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1->1; 6->6,PCAfreq,1,fRpc,1
1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1->2,vix_diff,0,bpRet,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,bpRet,0,fRpc,1
1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1->2,bpRet,0,DProd,0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,2,6->7,BEME,0,fEnv,1
