word,Topic,freq
fuel,1,1229066
bp,1,312755
shell,1,285139
vitol,1,184051
mrpl,1,175190
glencor,1,117912
exxon,1,98883
hin.leong,1,80742
ceypetco,1,80269
chevron,1,79571
hsfo,1,79467
forti,1,75036
bapco,1,73008
blend,1,70610
bpcl,1,66701
adnoc,1,65315
petrochina,1,63882
statoil,1,62451
trafigura,1,59949
petrolimex,1,58032
pertamina,1,57846
essar,1,54038
lukoil,1,49912
aramco,1,49530
hpcl,1,49274
sinopec,1,47565
ongc,1,42786
tasweeq,1,42592
petron,1,42495
gunvor,1,39079
unipec,1,37268
petral,1,33755
saigon.petro,1,32356
mop,1,30118
conocophillip,1,27721
sietco,1,25407
pv.oil,1,24398
mercuria,1,23249
egpc,1,22826
conoco,1,20980
petrosa,1,16605
platt,1,15932
emarat,1,15375
kero,1,14487
socar,1,14268
bangchak,1,13344
lanka.ioc,1,12654
moga,1,12391
hazira,1,10786
apach,1,10404
totsa,1,10350
sudanes,1,10161
engen,1,7836
brightoil,1,6681
banoco,1,5765
bunga.kekwa,1,5475
enoc,1,5404
mabanaft,1,3674
sudapet,1,3674
samref,1,3482
energen,1,2653
thaioil,1,2437
mobil.oil,1,868
mopag,1,759
mean.platt.singapor,1,181
aviat.gasolin,1,151
avga,1,137
oil,2,3644150
barrel,2,1100569
brent,2,464073
crude.oil,2,375318
refin,2,361348
opec,2,353110
heat,2,274080
petroleum,2,253693
diesel,2,235129
barg,2,180947
ipe,2,175774
distil,2,151403
sulphur,2,127620
gallon,2,125842
tanker,2,121018
eia,2,114057
nwe,2,66048
ara,2,55066
energi.inform.administr,2,50185
bunker,2,42901
api,2,42036
usg,2,38976
padd,2,35832
cartel,2,31875
unlead,2,30763
crack.spread,2,29589
light.crude,2,26022
middl.distil,2,24974
crude.import,2,24707
american.petroleum.institut,2,22515
sweet.crude,2,22182
iea,2,21539
intern.energi.agenc,2,14300
embargo,2,11410
depart.energi,2,10778
straight.run,2,10236
spr,2,7485
doe,2,7412
intern.petroleum.exchang,2,6380
reformul.gasolin,2,6240
strateg.petroleum.reserv,2,5359
viscos,2,5146
spare.capac,2,4756
amsterdam.rotterdam.antwerp,2,4196
aframax,2,4026
petroleo.de.venezuela,2,3807
float.storag,2,3432
product.quota,2,2944
util.rate,2,2941
paraffin,2,2856
residu.fuel.oil,2,2759
hormuz,2,2532
light.end,2,2040
arabian.light,2,1543
charter.rate,2,1378
worldscal,2,1120
persian.gulf,2,1082
arab.oil.embargo,2,1059
high.densiti,2,1024
petrodollar,2,938
equilibrium,2,898
centistok,2,837
water.treatment,2,835
gross.refin.margin,2,633
ballast,2,572
ulcc,2,508
demurrag,2,472
world.energi.outlook,2,375
forward.demand,2,260
slug,2,232
bonni.crude,2,194
brass.river.crude,2,177
crush.spread,2,137
emiss,3,154296
carbon,3,150597
climat,3,90671
environ,3,51651
green,3,41153
climat.chang,3,40227
pollut,3,37151
biofuel,3,28323
carbon.dioxid,3,22131
epa,3,18067
global.warm,3,17585
biodiesel,3,16591
fossil,3,14699
kyoto.protocol,3,9083
valv,3,7723
environment.protect.agenc,3,6418
emiss.trade.scheme,3,6293
methan,3,5908
cap.trade,3,4212
alki,3,3985
air.pollut,3,3435
certifi.emiss.reduct,3,1867
clean.air.act,3,1647
clean.develop.mechan,3,1629
coal.bed.methan,3,785
cumen,3,567
european.union.allow,3,529
bdi,3,497
flexibl.mechan,3,461
european.energi.exchang,3,438
joint.implement,3,337
nation.alloc.plan,3,313
aau,3,303
ver,3,286
assign.amount.unit,3,279
baltic.dri.index,3,250
reforest,3,233
ieta,3,200
volatil.organ.compound,3,182
new.entrant.reserv,3,143
desalt,3,120
coalesc,3,105
gas,4,1784645
energi,4,1152155
coal,4,436846
nuclear,4,328616
electr,4,286670
outag,4,266806
generat,4,191015
equiti,4,150544
mine,4,145373
lead,4,139667
lng,4,122484
addit,4,115004
reactor,4,98928
renew,4,97334
solar,4,83583
case,4,74046
miner,4,74015
grid,4,68171
hydro,4,63104
power.generat,4,42013
henri.hub,4,38594
farm,4,37247
enron,4,35696
conserv,4,34188
core,4,31557
liquefi.natur.gas,4,31049
ocean,4,28294
resid,4,27716
uranium,4,25913
turbin,4,25912
therm,4,21459
steam,4,20204
transco,4,19558
coke,4,18333
ferc,4,17704
balanc.volum,4,17150
atmospher,4,14653
meter,4,13720
abandon,4,13027
blow,4,11952
degre.day,4,11567
transform,4,9702
interrupt,4,9009
lignit,4,8703
combin.cycl,4,7881
zeebrugg,4,7531
smelter,4,7515
heat.degre.day,4,5977
geotherm,4,5299
peak.demand,4,5148
enrich.uranium,4,4789
anglo.american,4,4384
radioact,4,4208
cool.degre.day,4,4077
compress,4,3850
ofgem,4,3583
cng,4,3035
liquefact,4,2483
utilis.rate,4,2170
plutonium,4,1716
independ.power.produc,4,1693
american.gas.associ,4,1554
municip.util,4,1513
cogener,4,1477
psc,4,1290
anthracit,4,1272
tennesse.valley.author,4,1059
calorif.valu,4,947
coolant,4,836
compress.natur.gas,4,735
fusion,4,722
liquid.natur.gas,4,654
peak.load,4,646
flue,4,629
base.load,4,574
high.enrich,4,559
emul,4,493
nation.balanc.point,4,472
load.factor,4,446
vanadium,4,415
brownout,4,405
heavi.water,4,401
emerg.shutdown,4,388
cathod,4,382
environment.impact.studi,4,373
anod,4,313
spark.spread,4,311
dekatherm,4,309
vortex,4,223
synga,4,222
capac.margin,4,166
region.electr.compani,4,160
fast.breeder.reactor,4,130
thorium,4,122
deplet.uranium,4,118
bonnevill.power.author,4,100
pipelin,5,309149
wti,5,226715
lls,5,139802
wts,5,101562
gulf.coast,5,58252
cush,5,50650
west.texa.intermedi,5,31644
bakken,5,26396
heavi.louisiana.sweet,5,22580
enbridg,5,15116
sunoco,5,11787
midstream,5,11386
permian,5,8525
heavi.crude,5,7882
lighter,5,7570
heavi.oil,5,7064
eagl.ford,5,6564
suncor.energi,5,5996
occident.petroleum,5,4840
light.oil,5,3743
permian.basin,5,3596
syncrud,5,3543
imperi.oil,5,3502
tar,5,3307
nustar,5,3180
tail,5,3165
devon.energi,5,2962
plain.american,5,2555
synthet.crude,5,2449
niobrara,5,1575
api.graviti,5,1097
tank.farm,5,1093
nation.energi.board,5,816
orimuls,5,791
granit.wash,5,661
light.lousiana.sweet,5,539
liquid.petroleum.gas,5,454
degre.api,5,443
liquid.pipelin,5,329
sagd,5,154
cetan,5,124
minimum.oper.level,5,105
api.grade,5,104
reform,6,82942
petrochem,6,76922
cement,6,19205
lpg,6,17383
propan,6,16762
feedstock,6,15617
crude.distil.unit,6,9790
butan,6,6813
liquefi.petroleum.gas,6,5644
octan,6,5564
fluid.catalyt.cracker,6,5437
netback,6,5398
ethan,6,5241
olefin,6,4205
oxygen,6,3097
visbreak,6,2470
benzen,6,2378
tertiari,6,1987
polym,6,1792
urea,6,1703
methyl,6,1656
ether,6,1524
butyl,6,1417
vacuum.distil,6,1173
resin,6,963
namepl.capac,6,947
paraxylen,6,936
pvc,6,769
xylen,6,620
butadien,6,596
styren,6,499
glycol,6,484
toluen,6,311
ethyl,6,311
isom,6,260
polyvinyl.chlorid,6,255
linear.low,6,234
polyurethan,6,180
phenol,6,162
purifi.terephthal.acid,6,149
melamin,6,125
epoxi,6,114
explor,7,130357
drill,7,119545
offshor,7,103165
rig,7,77702
gulf.mexico,7,49333
shale,7,45799
spill,7,42177
royal.dutch.shell,7,32558
onshor,7,23374
pemex,7,22132
explor.product,7,21108
upstream,7,19228
deepwat,7,16429
downstream,7,15685
extract,7,14327
baker.hugh,7,12465
texaco,7,10069
halliburton,7,9652
transocean,7,8354
frack,7,7756
subsea,7,6361
schlumberg,7,6178
horizont,7,5628
e.p,7,4687
marathon.oil,7,4633
shell.oil,7,4547
fractur,7,4464
gulf.oil,7,4381
marcellus,7,3958
prove.reserv,7,3351
proven.reserv,7,2930
british.petroleum,7,2893
wellhead,7,2278
phillip.petroleum,7,1928
utica,7,1905
float.product,7,1864
apprais.well,7,1851
barnett,7,1776
seismic.survey,7,1726
associ.gas,7,1643
spud,7,1391
pdp,7,1331
haynesvill,7,1325
convent.oil,7,1156
well.test,7,1054
develop.well,7,1005
wildcat,7,912
well.complet,7,879
declin.rate,7,652
direct.drill,7,652
reserv.life,7,626
topsid,7,617
enhanc.oil.recoveri,7,613
dri.hole,7,455
well.head,7,443
sedimentari,7,429
inject.well,7,424
reserv.replac.ratio,7,399
kashagan.field,7,381
standard.oil,7,376
derrick,7,323
kuwait.oil.compani,7,275
umbil,7,275
licenc.round,7,270
wirelin,7,267
initi.product.rate,7,243
conting.resourc,7,223
eor,7,213
well.intervent,7,207
water.flood,7,196
well.case,7,169
alkan,7,140
water.cut,7,139
texa.railroad.commiss,7,134
poros,7,123
recoveri.factor,7,116
coil.tube,7,103
measur.depth,7,102
