,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-07,-0.43197860953145123,0.585715651512146,-0.044895433,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-14,-0.42814246718195137,0.585715651512146,-0.042092934,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-05-21,-0.4255926788877544,0.585715651512146,-0.04130159,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-05-28,-0.40280878634141254,0.585715651512146,-0.030157346,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-04,-0.3960332607851694,0.585715651512146,-0.02103318,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-11,-0.9358624891060291,1.6103365421295166,-0.0021155763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-18,-0.9102006403291069,1.6103365421295166,-0.002396735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-25,-0.8836012860237626,1.6103365421295166,0.00056145684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-02,0.3066320900532211,1.6103365421295166,0.003213504,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-09,0.31717589545784414,2.2401540279388428,-0.0050046854,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-16,0.32026720103168144,2.2401540279388428,-0.001923107,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-23,-0.15784078553363692,2.2401540279388428,-0.0052723656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-30,-0.09776593200328655,2.2401540279388428,-0.009144344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-06,-0.2423085569008423,2.038026809692383,-0.017161973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-13,-0.2331392036678969,2.038026809692383,-0.009795413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-20,-0.22190007336444045,2.038026809692383,0.0006808932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
