,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-09,9.517080945267367,4.6685967445373535,2.4574661,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-16,9.577992254186059,4.6685967445373535,2.475836,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-23,9.675322264464622,4.6685967445373535,2.5022902,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-30,9.62166677706342,4.6685967445373535,2.4667013,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-06-06,13.275248164098254,-13.747429847717285,2.3601038,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-06-13,13.096989278370177,-13.747429847717285,2.3701081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-20,12.702678536626204,-13.747429847717285,2.3636534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-27,12.751741049718904,-13.747429847717285,2.3875759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-04,12.523527956926696,-13.747429847717285,2.390245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-11,2.8481476533524073,-4.569075584411621,2.448155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-18,2.7564506903113446,-4.569075584411621,2.3897557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-25,2.6757743295461074,-4.569075584411621,2.3368711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-01,3.7512942017446544,-4.569075584411621,2.3854325,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-08,5.981345123206006,-1.491324543952942,2.7282429,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-15,5.938435205299456,-1.491324543952942,2.7290034,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-22,5.862188055466382,-1.491324543952942,2.703548,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-29,6.064660982987206,-1.491324543952942,2.7840192,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-05,6.213443172630992,-1.491324543952942,2.8779662,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-12,4.254692651811018,10.707669258117676,2.9982026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-19,4.335273184269509,10.707669258117676,3.0578463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-26,4.373271652947005,10.707669258117676,3.0914402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-03,4.292988833921011,10.707669258117676,3.036883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-10,9.671234339244116,15.41029167175293,2.924486,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-17,9.681135505926902,15.41029167175293,2.9422889,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-24,9.701984195605535,15.41029167175293,2.9664683,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-31,5.255715179142907,15.41029167175293,2.998577,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-11-07,5.8154321238400435,6.808465480804443,2.9211357,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-11-14,5.819449887878427,6.808465480804443,2.932687,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-11-21,5.852447095488353,6.808465480804443,2.9622686,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-11-28,5.917633355065862,6.808465480804443,3.0114703,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-12-05,5.829291721662019,6.808465480804443,2.9463146,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-12-12,4.364441016162768,7.796911716461182,2.5316494,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-19,4.501442803274472,7.796911716461182,2.5396917,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-26,4.527170962797438,7.796911716461182,2.5668814,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-01-02,4.385973006579617,7.796911716461182,2.4436443,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-01-09,6.410921045517172,0.8262212872505188,2.202612,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-01-16,6.353922908110591,0.8262212872505188,2.2063463,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-01-23,6.471371628755795,0.8262212872505188,2.2316403,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-01-30,6.577823030834957,0.8262212872505188,2.2332537,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-02-06,7.073534951694558,14.810916900634766,2.234253,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-02-13,6.964343535855013,14.810916900634766,2.2613668,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-02-20,7.114503629188639,14.810916900634766,2.2755015,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-02-27,7.0750926191465044,14.810916900634766,2.2776675,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-03-05,7.0490292723407535,14.810916900634766,2.2846994,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-03-12,5.350512440678086,0.453752726316452,2.2038608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-19,5.3760183858150175,0.453752726316452,2.2280948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-26,5.422152411255673,0.453752726316452,2.263216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-02,5.378522537980258,0.453752726316452,2.241524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-09,3.8549024490902095,12.923528671264648,2.0745568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-16,3.8230641409478583,12.923528671264648,2.0677938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-23,3.8379551530560554,12.923528671264648,2.0862396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-30,3.7228012059227584,12.923528671264648,2.0235279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-07,4.97380319985934,11.758044242858887,1.901127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-14,4.91012396340958,11.758044242858887,1.8797263,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-21,4.907160906086107,11.758044242858887,1.8856302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-28,1.0839500786018221,11.758044242858887,1.8318752,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-06-04,1.0818094525768112,11.758044242858887,1.808908,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-06-11,7.618777774892366,10.973453521728516,1.8116341,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-06-18,7.740141988078631,10.973453521728516,1.8702116,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-06-25,7.888303403734812,10.973453521728516,1.9491827,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-02,7.803113375656256,10.973453521728516,1.9570912,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-09,8.125749088831878,16.26552391052246,2.0218832,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-16,8.07004069912507,16.26552391052246,2.0281098,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-23,8.091347891863151,16.26552391052246,2.0552506,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-07-30,8.117742350893362,16.26552391052246,2.0708861,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-08-06,7.194268093780501,-0.7208694219589233,1.9487028,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-08-13,7.287742851417874,-0.7208694219589233,1.9994375,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-08-20,7.398312862234747,-0.7208694219589233,2.0557442,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-08-27,7.6211184826982,-0.7208694219589233,2.144473,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-03,7.644652073820862,-0.7208694219589233,2.1332324,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-10,7.533851908681577,-22.527097702026367,2.1569455,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-17,7.47601922258993,-22.527097702026367,2.1631656,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-24,7.376040393933107,-22.527097702026367,2.1510417,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-10-01,7.244529412079612,-22.527097702026367,2.1154788,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-10-08,5.808501441819693,10.352524757385254,1.9299055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-15,5.572555740556296,10.352524757385254,1.8033639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-22,1.501745147175813,10.352524757385254,1.7267855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-29,1.3950146308636266,10.352524757385254,1.5926784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-05,1.2887446720662838,10.352524757385254,1.4599396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-12,0.9502011248210342,20.086498260498047,1.2640294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-19,0.9524543635729801,20.086498260498047,1.2585217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-26,0.9420269925402927,20.086498260498047,1.2436543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-03,0.9875681820418105,20.086498260498047,1.2731241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-10,4.096174648402687,20.8754825592041,1.4851333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-17,4.271515087444971,20.8754825592041,1.4867146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-24,4.358704736314994,20.8754825592041,1.5429407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-31,4.592246161540112,20.8754825592041,1.6828727,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-01-07,2.8218435958226644,-7.849433898925781,1.9215031,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-01-14,2.8533023903992727,-7.849433898925781,1.9606355,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-01-21,2.9037700855451023,-7.849433898925781,2.0145242,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-01-28,2.9346907305811887,-7.849433898925781,2.0427196,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-04,3.2941731113823485,-9.9422025680542,1.8770634,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-11,3.3377448323976466,-9.9422025680542,1.9184955,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-18,3.3460373863331414,-9.9422025680542,1.9280686,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-02-25,3.366901870114517,-9.9422025680542,1.9493061,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-03-04,3.2323996908093777,-9.9422025680542,1.8291615,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-03-11,3.0726383907802184,18.526704788208008,1.719467,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-03-18,2.957998376657337,18.526704788208008,1.6519041,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-03-25,2.858278576982896,18.526704788208008,1.5884475,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-04-01,2.888563727870328,18.526704788208008,1.568593,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2005-04-08,2.447474050669541,9.592124938964844,1.6428819,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-15,2.4605907906533386,9.592124938964844,1.6596379,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2005-04-22,2.4710041338414133,9.592124938964844,1.6744672,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
