,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,10.222532916187244,-12.35000228881836,-0.5552569,,,,,
2003-05-02,10.560165101198265,-12.35000228881836,-0.47059292,,,,,
2003-05-09,6.287521806263737,-5.0,-0.11470118,1.0,1.0,1.0,1.0,1.0
2003-05-16,6.228410652318211,-5.0,-0.1815873,1.0,1.0,1.0,1.0,1.0
2003-05-23,4.904280982378131,-5.0,-0.24284585,1.0,1.0,1.0,1.0,1.0
2003-05-30,4.809693143159052,-5.0,-0.18632412,1.0,1.0,1.0,1.0,1.0
2003-06-06,5.675219252166777,-6.649999618530273,-0.08012,1.0,1.0,1.0,1.0,1.0
2003-06-13,3.2445720271504643,-6.649999618530273,-0.0903586,1.0,1.0,1.0,1.0,1.0
2003-06-20,3.167743117456062,-6.649999618530273,-0.0904762,1.0,1.0,1.0,1.0,1.0
2003-06-27,2.9882086341717926,-6.649999618530273,-0.106521785,1.0,1.0,1.0,1.0,1.0
2003-07-04,2.808131798526692,-6.649999618530273,-0.14055341,1.0,1.0,1.0,1.0,1.0
2003-07-11,2.539974249220015,-4.990001678466797,-0.05629484,2.0,2.0,2.0,2.0,2.0
2003-07-18,2.4532435457530757,-4.990001678466797,-0.06916664,1.0,1.0,1.0,1.0,1.0
2003-07-25,2.64077768323891,-4.990001678466797,-0.09316202,2.0,2.0,2.0,2.0,2.0
2003-08-01,2.946164273959055,-4.990001678466797,-0.110790566,2.0,2.0,2.0,2.0,2.0
2003-08-08,3.4826754105366855,4.530002593994141,-0.059800804,1.0,1.0,1.0,1.0,1.0
2003-08-15,3.4764649651144497,4.530002593994141,-0.046309546,1.0,1.0,1.0,1.0,1.0
2003-08-22,3.393295364725723,4.530002593994141,-0.062648244,1.0,1.0,1.0,1.0,1.0
2003-08-29,3.383745252227012,4.530002593994141,-0.15332018,1.0,1.0,1.0,1.0,1.0
2003-09-05,3.1446049019396263,4.530002593994141,-0.26766798,1.0,1.0,1.0,1.0,1.0
2003-09-12,4.412045478974453,11.450000762939453,-0.565498,2.0,2.0,2.0,2.0,2.0
2003-09-19,4.38387970325639,11.450000762939453,-0.5638492,2.0,2.0,2.0,2.0,2.0
2003-09-26,4.595893344718493,11.450000762939453,-0.5586957,2.0,2.0,2.0,2.0,2.0
2003-10-03,4.545718648174307,11.450000762939453,-0.63818187,3.0,3.0,3.0,3.0,3.0
2003-10-10,5.1596224401008355,-2.0100021362304688,-0.7368526,3.0,3.0,3.0,3.0,3.0
2003-10-17,5.2288836385467485,-2.0100021362304688,-0.6884127,3.0,3.0,3.0,3.0,3.0
2003-10-24,4.884888929720859,-2.0100021362304688,-0.6464822,3.0,3.0,3.0,3.0,3.0
2003-10-31,4.694717349297018,-2.0100021362304688,-0.5390514,2.0,2.0,2.0,2.0,2.0
2003-11-07,2.502976359797184,-1.3699989318847656,-0.20652,1.0,1.0,1.0,1.0,1.0
2003-11-14,2.515460358277793,-1.3699989318847656,-0.18075697,2.0,2.0,2.0,2.0,2.0
2003-11-21,2.4946975778812646,-1.3699989318847656,-0.17547618,1.0,1.0,1.0,1.0,1.0
2003-11-28,2.8335870499760185,-1.3699989318847656,-0.18272728,2.0,2.0,2.0,2.0,2.0
2003-12-05,2.1088292174255434,-1.3699989318847656,-0.12798418,2.0,2.0,2.0,2.0,2.0
2003-12-12,3.8310141805036078,-3.3600006103515625,-0.050398413,2.0,2.0,2.0,2.0,2.0
2003-12-19,3.8109310796018905,-3.3600006103515625,-0.045396835,2.0,2.0,2.0,2.0,2.0
2003-12-26,3.7695249849142094,-3.3600006103515625,-0.05371543,1.0,1.0,1.0,1.0,1.0
2004-01-02,4.478131443160042,-3.3600006103515625,-0.026640292,1.0,1.0,1.0,1.0,1.0
2004-01-09,4.7488792141668235,-3.2099990844726562,0.047808796,1.0,1.0,1.0,1.0,1.0
2004-01-16,4.7061851374242005,-3.2099990844726562,0.05198415,1.0,1.0,1.0,1.0,1.0
2004-01-23,4.736486181127529,-3.2099990844726562,0.0250198,1.0,1.0,1.0,1.0,1.0
2004-01-30,4.596674370462574,-3.2099990844726562,0.04083009,1.0,1.0,1.0,1.0,1.0
