,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,15.723929851744586,2.042597770690918,2.3493054,,,,,
2003-05-02,15.054953114686688,2.042597770690918,2.4230316,,,,,
2003-05-09,13.947976533418249,4.6685967445373535,2.4574661,1.0,1.0,1.0,1.0,1.0
2003-05-16,12.920958453214222,4.6685967445373535,2.475836,1.0,1.0,1.0,1.0,1.0
2003-05-23,11.90228115137103,4.6685967445373535,2.5022902,1.0,1.0,1.0,1.0,1.0
2003-05-30,11.659581671505402,4.6685967445373535,2.4667013,1.0,1.0,1.0,1.0,1.0
2003-06-06,16.68203262927967,-13.747429847717285,2.3601038,3.0,3.0,3.0,3.0,3.0
2003-06-13,17.517766573530402,-13.747429847717285,2.3701081,3.0,3.0,3.0,3.0,3.0
2003-06-20,16.75891576401073,-13.747429847717285,2.3636534,3.0,3.0,3.0,3.0,3.0
2003-06-27,17.95175997314908,-13.747429847717285,2.3875759,3.0,3.0,3.0,3.0,3.0
2003-07-04,17.7396051653185,-13.747429847717285,2.390245,3.0,3.0,3.0,3.0,3.0
2003-07-11,3.3982219053597538,-4.569075584411621,2.448155,1.0,1.0,1.0,1.0,1.0
2003-07-18,3.273444629342322,-4.569075584411621,2.3897557,1.0,1.0,1.0,1.0,1.0
2003-07-25,3.1487007700298033,-4.569075584411621,2.3368711,1.0,1.0,1.0,1.0,1.0
2003-08-01,3.275434075837799,-4.569075584411621,2.3854325,1.0,1.0,1.0,1.0,1.0
2003-08-08,7.106110815133503,-1.491324543952942,2.7282429,3.0,3.0,3.0,3.0,3.0
2003-08-15,7.059195458131059,-1.491324543952942,2.7290034,3.0,3.0,3.0,3.0,3.0
2003-08-22,6.976887568966119,-1.491324543952942,2.703548,3.0,3.0,3.0,3.0,3.0
2003-08-29,7.322763117494076,-1.491324543952942,2.7840192,3.0,3.0,3.0,3.0,3.0
2003-09-05,7.59833341268722,-1.491324543952942,2.8779662,3.0,3.0,3.0,3.0,3.0
2003-09-12,11.174454354748264,10.707669258117676,2.9982026,1.0,1.0,1.0,1.0,1.0
2003-09-19,11.352452278172724,10.707669258117676,3.0578463,1.0,1.0,1.0,1.0,1.0
2003-09-26,11.644434850531031,10.707669258117676,3.0914402,1.0,1.0,1.0,1.0,1.0
2003-10-03,11.45147714991638,10.707669258117676,3.036883,1.0,1.0,1.0,1.0,1.0
2003-10-10,10.280951690644692,15.41029167175293,2.924486,3.0,3.0,3.0,3.0,3.0
2003-10-17,10.26373305440881,15.41029167175293,2.9422889,3.0,3.0,3.0,3.0,3.0
2003-10-24,10.259248180522452,15.41029167175293,2.9664683,3.0,3.0,3.0,3.0,3.0
2003-10-31,10.441551678242325,15.41029167175293,2.998577,3.0,3.0,3.0,3.0,3.0
2003-11-07,8.035655430203484,6.808465480804443,2.9211357,3.0,3.0,3.0,3.0,3.0
2003-11-14,8.02075376414204,6.808465480804443,2.932687,3.0,3.0,3.0,3.0,3.0
2003-11-21,8.03225935843146,6.808465480804443,2.9622686,3.0,3.0,3.0,3.0,3.0
2003-11-28,8.054186601835465,6.808465480804443,3.0114703,3.0,3.0,3.0,3.0,3.0
2003-12-05,7.889762741612094,6.808465480804443,2.9463146,3.0,3.0,3.0,3.0,3.0
2003-12-12,5.208436134577708,7.796911716461182,2.5316494,1.0,1.0,1.0,1.0,1.0
2003-12-19,5.197917137426819,7.796911716461182,2.5396917,1.0,1.0,1.0,1.0,1.0
2003-12-26,5.230590101585929,7.796911716461182,2.5668814,1.0,1.0,1.0,1.0,1.0
2004-01-02,5.358359316664244,7.796911716461182,2.4436443,1.0,1.0,1.0,1.0,1.0
2004-01-09,9.132539873348406,0.8262212872505188,2.202612,2.0,2.0,2.0,2.0,2.0
