,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-09,1.8774442906205429,-5.0,-0.11470118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-16,1.85265029022414,-5.0,-0.1815873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-23,1.9218864434399734,-5.0,-0.24284585,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-05-30,1.9825597785205171,-5.0,-0.18632412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-06,3.9720354731049197,-6.649999618530273,-0.08012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-13,3.922289284224976,-6.649999618530273,-0.0903586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-20,3.879583159362102,-6.649999618530273,-0.0904762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-27,3.8605081626276982,-6.649999618530273,-0.106521785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-04,3.825674664551527,-6.649999618530273,-0.14055341,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-11,5.513214605566517,-4.990001678466797,-0.05629484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-18,5.4694542774056725,-4.990001678466797,-0.06916664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-25,5.2896893934232185,-4.990001678466797,-0.09316202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-01,5.145645934102691,-4.990001678466797,-0.110790566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-08,5.567854978407707,4.530002593994141,-0.059800804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-15,5.553996825041798,4.530002593994141,-0.046309546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-22,5.594299854362961,4.530002593994141,-0.062648244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-29,5.45414662423038,4.530002593994141,-0.15332018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-05,5.296296039993966,4.530002593994141,-0.26766798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-12,7.672883287712333,11.450000762939453,-0.565498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-19,7.616594106263358,11.450000762939453,-0.5638492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-26,7.5796921020571535,11.450000762939453,-0.5586957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-03,7.438424779207907,11.450000762939453,-0.63818187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-10,1.0810632117961387,-2.0100021362304688,-0.7368526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-17,1.0996051125859194,-2.0100021362304688,-0.6884127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-24,1.111824910571878,-2.0100021362304688,-0.6464822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-31,1.1558171814334375,-2.0100021362304688,-0.5390514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-07,-0.035637014522536925,-1.3699989318847656,-0.20652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-14,-0.03685694087475869,-1.3699989318847656,-0.18075697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-21,-0.05716283326138477,-1.3699989318847656,-0.17547618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-28,-0.06997057294601546,-1.3699989318847656,-0.18272728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-05,-0.07192113759302582,-1.3699989318847656,-0.12798418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-12,2.9887828245891477,-3.3600006103515625,-0.050398413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-19,2.986552381516145,-3.3600006103515625,-0.045396835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-26,2.956772432691174,-3.3600006103515625,-0.05371543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-02,2.92772946527075,-3.3600006103515625,-0.026640292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-09,-0.3513930739568914,-3.2099990844726562,0.047808796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-16,-0.36636800221504784,-3.2099990844726562,0.05198415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-23,-0.3989289701513664,-3.2099990844726562,0.0250198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-30,-0.39843318227839863,-3.2099990844726562,0.04083009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-06,3.3760854178738975,1.7900009155273438,0.051274896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-13,3.3505925353205512,1.7900009155273438,0.02956348,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-20,3.2130487700908854,1.7900009155273438,0.00956521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-02-27,3.2133868160519796,1.7900009155273438,-0.013359718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-05,3.1309128667098984,1.7900009155273438,-0.026205612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-12,2.8475219954734285,6.290000915527344,-0.018844604,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-19,2.8220994002991118,6.290000915527344,-0.011547573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-03-26,2.794783942988492,6.290000915527344,-0.013794428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-02,2.71967579238312,6.290000915527344,-0.019249054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-09,0.4130120618604464,-5.260002136230469,0.06474104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-16,0.4365621334395926,-5.260002136230469,0.10091267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-23,0.4669149589458424,-5.260002136230469,0.123438716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-04-30,0.5083355011229851,-5.260002136230469,0.17920953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-07,-2.5756731895483944,-12.709999084472656,0.28015932,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-05-14,-2.553407206978375,-12.709999084472656,0.3371031,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-05-21,-2.550222919127575,-12.709999084472656,0.36007902,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-05-28,-2.3859637220639422,-12.709999084472656,0.38494077,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-06-04,-2.39374707868445,-12.709999084472656,0.37292486,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-06-11,3.329788612282003,3.6899986267089844,0.2507171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-18,3.2846812952641833,3.6899986267089844,0.19825393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-25,3.23482265267228,3.6899986267089844,0.14509878,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-02,2.9793318058306553,3.6899986267089844,0.05766803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-09,2.631472406613476,-4.520000457763672,-0.17330672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-16,2.629294082880708,-4.520000457763672,-0.16976184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-23,2.633373859145585,-4.520000457763672,-0.15723313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-07-30,2.618428267995398,-4.520000457763672,-0.17454544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-06,1.4534425271441505,1.9799995422363281,-0.20756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-13,1.4354438822699516,1.9799995422363281,-0.19768925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-20,1.4096639695785902,1.9799995422363281,-0.18992063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-08-27,1.3530767355716409,1.9799995422363281,-0.22039527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-03,1.4127264135847006,1.9799995422363281,-0.22584976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-10,4.966384792124702,20.290000915527344,-0.18816732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-17,4.956893068835237,20.290000915527344,-0.18777774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-09-24,4.962331376437564,20.290000915527344,-0.18003951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-01,4.9667771296269985,20.290000915527344,-0.17940708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-08,-2.6689892121364682,-0.9599990844726562,-0.11665338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-15,-2.6447637008884968,-0.9599990844726562,-0.05499999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-10-22,-2.617585618632938,-0.9599990844726562,0.039960478,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-10-29,-2.4582018256818996,-0.9599990844726562,0.13071147,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-05,-2.2599335439449546,-0.9599990844726562,0.21948619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-12,-5.567901451639905,-20.610000610351562,0.28944227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-19,-5.5503322585540165,-20.610000610351562,0.319008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-11-26,-5.929797887108372,-20.610000610351562,0.35181823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-03,-5.947498036870336,-20.610000610351562,0.3156127,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-12-10,-1.3189315715824155,-11.839998245239258,0.18900399,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-12-17,-1.3606597639189275,-11.839998245239258,0.13623017,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-12-24,-1.5302329550885927,-11.839998245239258,0.054031614,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-12-31,-1.6826239090483273,-11.839998245239258,-0.064980276,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-07,5.3709880243176045,7.620000839233398,-0.2412749,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-14,5.331268055134119,7.620000839233398,-0.3159524,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-21,5.383595999248861,7.620000839233398,-0.3947826,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2005-01-28,5.355463279783439,7.620000839233398,-0.43766803,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
