,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-07,0.24085741191981813,-1.7436689138412476,-0.19907846,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-14,0.24549449289395675,-1.7436689138412476,-0.19614725,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-21,0.24695050724525347,-1.7436689138412476,-0.19426197,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-28,0.03522025988805355,-1.7436689138412476,-0.1947172,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-04,0.03374803834121132,-1.7436689138412476,-0.19653483,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-11,0.032846865070977116,-0.5868974924087524,-0.19430389,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-18,0.028920125874889402,-0.5868974924087524,-0.19600901,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-25,0.2202928159328545,-0.5868974924087524,-0.20114447,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-02,0.20746695212652855,-0.5868974924087524,-0.20845522,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-09,0.2896921918373234,-1.0718680620193481,-0.21845932,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-16,0.27097441588660764,-1.0718680620193481,-0.22453266,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-23,0.259712332180123,-1.0718680620193481,-0.22887336,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-30,0.25530242534320513,-1.0718680620193481,-0.2291765,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-06,0.3623834400682714,-1.8066127300262451,-0.25538144,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-13,0.35515420086153515,-1.8066127300262451,-0.25566697,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-20,0.3449013585225913,-1.8066127300262451,-0.2570816,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-27,0.3538340201599477,-1.8066127300262451,-0.26828682,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-03,-0.19642263908803742,-1.8066127300262451,-0.27292377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-10,-0.26673917519915086,0.35555559396743774,-0.27803853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-17,-0.27317121393586674,0.35555559396743774,-0.28304976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-09-24,-0.2797538471848248,0.35555559396743774,-0.28906214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-01,-0.2846510693939254,0.35555559396743774,-0.2956107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-08,-0.2958074672207749,0.5976763963699341,-0.3014469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-15,-0.2968977624390012,0.5976763963699341,-0.30349654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-22,-0.2918309695328612,0.5976763963699341,-0.3000466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-10-29,-0.28125220450343835,0.5976763963699341,-0.28917113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-05,-0.2652193415319173,0.5976763963699341,-0.27238023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-12,-0.23448744416236877,1.038568139076233,-0.23448744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-19,-0.23030029237270355,1.038568139076233,-0.23030029,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-11-26,-0.20712248980998993,1.038568139076233,-0.20712249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-03,-0.05663162493037441,1.038568139076233,-0.182313,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-10,-0.03812426568453861,-0.5497550368309021,-0.12665488,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
