,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-09,100.74492858363944,106.10416412353516,103.425705,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-16,100.76906840608169,106.10416412353516,103.44704,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-05-23,100.76767053022563,106.10416412353516,103.48533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-30,100.79434610944726,106.10416412353516,103.467995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-06,100.46353065607187,85.80059051513672,103.38624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-13,100.5109704572375,85.80059051513672,103.41405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-20,100.55638970005367,85.80059051513672,103.42392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-27,100.73190474354769,85.80059051513672,103.45053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-04,100.80705751212098,85.80059051513672,103.45804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-11,100.64566439122568,93.609130859375,103.5253,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-18,100.53606423500173,93.609130859375,103.469925,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-25,100.6434900447937,93.609130859375,103.41309,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-01,100.17508873968808,93.609130859375,103.44732,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-08,97.97617039373739,98.06232452392578,103.762596,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-15,98.00306594306082,98.06232452392578,103.75307,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-22,97.96399249702264,98.06232452392578,103.72003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-29,97.59396902193363,98.06232452392578,103.7875,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-05,97.28807506343452,98.06232452392578,103.87236,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-12,97.12408577842689,111.93370056152344,104.02158,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-19,97.35887660388971,111.93370056152344,104.07444,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-09-26,97.52250661302786,111.93370056152344,104.104706,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-03,97.52844360288117,111.93370056152344,104.05356,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-10,98.33131240169463,117.19847106933594,103.9657,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-17,98.43717505829242,117.19847106933594,103.97851,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-24,98.5718294574303,117.19847106933594,104.002716,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-31,98.6858822112871,117.19847106933594,104.04317,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-11-07,106.17646245869506,108.90174102783203,103.98214,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-11-14,106.18598542873977,108.90174102783203,103.992546,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
