,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-09,0.6058464123149123,4.475327014923096,0.19023497,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-16,0.6083810533042084,4.475327014923096,0.19115563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-23,0.6097319935094271,4.475327014923096,0.1893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-30,0.9337318347153114,4.475327014923096,0.19513205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-06,0.4477239192576042,4.022167205810547,0.10825616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-13,0.4429048378341572,4.022167205810547,0.09273234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-20,0.44411298382034836,4.022167205810547,0.091718465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-27,0.44701947535450476,4.022167205810547,0.093090974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-04,0.4434633038298894,4.022167205810547,0.08977581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-11,-1.2543499363870056,0.39708247780799866,0.040858902,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-18,-1.252493801929649,0.39708247780799866,0.060647327,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-07-25,-1.2503171864070572,0.39708247780799866,0.073774315,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-01,-1.260506469012926,0.39708247780799866,0.069253646,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-08-08,-3.9623742941489972,-4.192633628845215,0.08027661,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
