,pred,true,mean,lookback_tercile_lag_1.0yr,lookback_tercile_lag_1.5yr,lookback_tercile_lag_2.0yr,lookback_tercile_lag_2.5yr,lookback_tercile_lag_3.0yr,lookback_tercile_lag_3.5yr,lookback_tercile_lag_4.0yr,lookback_tercile_lag_4.5yr,lookback_tercile_lag_5.0yr
2003-05-09,-1.2441296846315693,-2.871140718460083,-0.102984786,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-05-16,-3.3677735627865046,-2.871140718460083,-0.090687886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-23,-3.3121404492120354,-2.871140718460083,-0.090413816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-05-30,-1.1512555570231993,-2.871140718460083,-0.045560814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-06-06,-5.857739032265559,3.1200106143951416,-0.13057947,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-13,-5.8567394822280185,3.1200106143951416,-0.15828933,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-20,-5.82515291779991,3.1200106143951416,-0.17178321,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-06-27,-5.822286089246778,3.1200106143951416,-0.18637308,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-04,-5.772000658612565,3.1200106143951416,-0.2234903,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-07-11,-3.2081152542666946,-1.4003435373306274,-0.21923731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-18,-3.1944962258062315,-1.4003435373306274,-0.21963271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-07-25,-2.3931874217801594,-1.4003435373306274,-0.21831504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-01,-2.36058190414782,-1.4003435373306274,-0.20030707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-08-08,-2.4461045907683223,0.2708682715892792,-0.15104784,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-15,-2.415617525539192,0.2708682715892792,-0.1445846,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-22,-2.3686657079792885,0.2708682715892792,-0.13025633,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-08-29,-2.379453419570784,0.2708682715892792,-0.15146905,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-09-05,-2.413096441309586,0.2708682715892792,-0.17207101,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-09-12,-3.1408351989805934,14.429346084594727,-0.14493157,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-09-19,-3.1490285609196778,14.429346084594727,-0.14911325,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-09-26,-3.1319842014082377,14.429346084594727,-0.1463927,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-10-03,-1.7654609011897913,14.429346084594727,-0.10096131,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-10-10,0.08340386260680309,3.505809783935547,-0.0143868495,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-17,0.10094238116172051,3.505809783935547,0.0022114345,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-10-24,0.13971664928615385,3.505809783935547,0.054698236,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-10-31,0.25788951777273017,3.505809783935547,0.17323418,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2003-11-07,-0.1437632410659317,-5.618732929229736,0.1670802,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-11-14,-0.07037188447583675,-5.618732929229736,0.20358118,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-11-21,-0.032020575355341585,-5.618732929229736,0.22224462,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-11-28,-0.006582066754052512,-5.618732929229736,0.2352231,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-05,0.05387000902223352,-5.618732929229736,0.13351102,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2003-12-12,0.2392904588850348,-0.6352245807647705,-0.122793615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-19,0.18921160684996924,-0.6352245807647705,-0.14549872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-12-26,0.1300657134044057,-0.6352245807647705,-0.16737981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-02,-1.567223056759925,-0.6352245807647705,-0.2862445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-09,3.529939972103947,-4.0957512855529785,-0.4509639,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-01-16,3.5112547056763135,-4.0957512855529785,-0.44021565,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-01-23,3.499454407825339,-4.0957512855529785,-0.44442758,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-01-30,3.4785565370682527,-4.0957512855529785,-0.47336,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-02-06,6.639862090261133,4.682000637054443,-0.55029774,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-02-13,6.628815567926482,4.682000637054443,-0.5406282,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-02-20,6.619062248631044,4.682000637054443,-0.52788424,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-02-27,6.37463129983695,4.682000637054443,-0.58335716,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-03-05,6.28361079865059,4.682000637054443,-0.6002177,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-03-12,2.654495931331021,7.361138820648193,-0.71718127,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-03-19,2.6650713126583985,7.361138820648193,-0.6963519,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-03-26,2.6473429488766977,7.361138820648193,-0.6775145,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-02,2.596541323555416,7.361138820648193,-0.68774515,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-09,3.7986987255962488,-2.552321195602417,-0.75603634,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-16,3.7552071104247133,-2.552321195602417,-0.75236005,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-23,3.813566036483248,-2.552321195602417,-0.71522516,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-04-30,1.1398042113176248,-2.552321195602417,-0.7171478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-07,1.8558837414631268,-2.4825189113616943,-0.6824714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-14,1.9125686150546448,-2.4825189113616943,-0.65123445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-21,1.9644451660910702,-2.4825189113616943,-0.62272614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-05-28,1.9203648442281915,-2.4825189113616943,-0.6362498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-04,1.7991213354588829,-2.4825189113616943,-0.6374315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-06-11,-0.4197960230018018,2.630060911178589,-0.51896757,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-06-18,-0.4621283813499031,2.630060911178589,-0.5331085,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-06-25,-0.49475636245917054,2.630060911178589,-0.5484536,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-07-02,-0.5072726099318843,2.630060911178589,-0.5497791,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-07-09,0.12266379566804675,4.982588291168213,-0.5032363,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-07-16,0.1206785464459399,4.982588291168213,-0.50307786,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-07-23,0.16203642535097018,4.982588291168213,-0.48223376,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-07-30,0.09333262564386702,4.982588291168213,-0.4995296,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-06,-0.27035275720823987,10.284350395202637,-0.51115066,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-13,-0.1964275212583581,10.284350395202637,-0.4892566,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-20,-0.14324767141358358,10.284350395202637,-0.46786603,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2004-08-27,-0.06300023920792414,10.284350395202637,-0.4438966,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2004-09-03,0.020508516917330022,10.284350395202637,-0.42319703,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
