,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,-3.730394658182004,-1.7738913297653198,0.09651679,,,,,
2003-05-02,-3.688207678888608,-1.7738913297653198,0.10771415,,,,,
2003-05-09,-1.9887329277740982,4.475327014923096,0.19023497,1.0,1.0,1.0,1.0,1.0
2003-05-16,-1.9819669404257079,4.475327014923096,0.19115563,1.0,1.0,1.0,1.0,1.0
2003-05-23,-1.9080293998414013,4.475327014923096,0.1893,1.0,1.0,1.0,1.0,1.0
2003-05-30,-1.5481224472698498,4.475327014923096,0.19513205,3.0,3.0,3.0,3.0,3.0
2003-06-06,-3.3621069977045055,4.022167205810547,0.10825616,3.0,3.0,3.0,3.0,3.0
2003-06-13,-3.2840434678375354,4.022167205810547,0.09273234,3.0,3.0,3.0,3.0,3.0
2003-06-20,-3.0372217345542416,4.022167205810547,0.091718465,3.0,3.0,3.0,3.0,3.0
2003-06-27,-2.9498834991486462,4.022167205810547,0.093090974,2.0,2.0,2.0,2.0,2.0
2003-07-04,-2.7960422904479953,4.022167205810547,0.08977581,2.0,2.0,2.0,2.0,2.0
2003-07-11,-3.202393720429769,0.39708247780799866,0.040858902,3.0,3.0,3.0,3.0,3.0
2003-07-18,-3.163424953546141,0.39708247780799866,0.060647327,3.0,3.0,3.0,3.0,3.0
2003-07-25,-3.1897433426051864,0.39708247780799866,0.073774315,3.0,3.0,3.0,3.0,3.0
2003-08-01,-3.1871893043477866,0.39708247780799866,0.069253646,3.0,3.0,3.0,3.0,3.0
2003-08-08,-3.7937762673864324,-4.192633628845215,0.08027661,2.0,2.0,2.0,2.0,2.0
2003-08-15,-3.763035482174727,-4.192633628845215,0.09548865,1.0,1.0,1.0,1.0,1.0
2003-08-22,-3.6680474789466646,-4.192633628845215,0.1175111,1.0,1.0,1.0,1.0,1.0
2003-08-29,-3.699980427102468,-4.192633628845215,0.09389599,1.0,1.0,1.0,1.0,1.0
2003-09-05,-3.7490639436128084,-4.192633628845215,0.06359966,1.0,1.0,1.0,1.0,1.0
