,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,-1.7269167565745713,-1.055922031402588,-0.007059874,,,,,
2003-05-02,-1.6579070833163396,-1.055922031402588,0.04793461,,,,,
2003-05-09,-1.0276224389298847,0.6492759585380554,0.19079332,3.0,3.0,3.0,3.0,3.0
2003-05-16,-1.0250946896712807,0.6492759585380554,0.18740787,3.0,3.0,3.0,3.0,3.0
2003-05-23,-1.0136083427449583,0.6492759585380554,0.18075824,3.0,3.0,3.0,3.0,3.0
2003-05-30,-1.0006333181861464,0.6492759585380554,0.17449927,3.0,3.0,3.0,3.0,3.0
2003-06-06,-0.9657370428770027,2.51300311088562,0.030088745,1.0,1.0,1.0,1.0,1.0
2003-06-13,-0.9773053454875783,2.51300311088562,0.0161179,2.0,2.0,2.0,2.0,2.0
2003-06-20,-0.9848596192622596,2.51300311088562,0.0057078167,2.0,2.0,2.0,2.0,2.0
2003-06-27,-0.9838686225473909,2.51300311088562,0.0028586406,2.0,2.0,2.0,2.0,2.0
2003-07-04,-0.9817765268771886,2.51300311088562,-0.03506162,1.0,1.0,1.0,1.0,1.0
2003-07-11,-0.9795238205657231,2.5791091918945312,-0.16106692,1.0,1.0,1.0,1.0,1.0
2003-07-18,-1.5452366460923956,2.5791091918945312,-0.13592106,1.0,1.0,1.0,1.0,1.0
2003-07-25,-1.5405154788541764,2.5791091918945312,-0.12810864,1.0,1.0,1.0,1.0,1.0
2003-08-01,-1.4627333438708663,2.5791091918945312,-0.13881204,1.0,1.0,1.0,1.0,1.0
2003-08-08,-0.9915455181318431,-2.0404164791107178,-0.15912418,1.0,1.0,1.0,1.0,1.0
2003-08-15,-0.9696999717566019,-2.0404164791107178,-0.14325309,1.0,1.0,1.0,1.0,1.0
2003-08-22,-0.9177955715705602,-2.0404164791107178,-0.12602252,1.0,1.0,1.0,1.0,1.0
2003-08-29,-0.813881456887297,-2.0404164791107178,-0.14430912,1.0,1.0,1.0,1.0,1.0
2003-09-05,-0.7960831319654333,-2.0404164791107178,-0.15445659,1.0,1.0,1.0,1.0,1.0
2003-09-12,-0.5709912984896892,14.043880462646484,-0.12569875,2.0,2.0,2.0,2.0,2.0
2003-09-19,-0.5606020005696192,14.043880462646484,-0.11876703,2.0,2.0,2.0,2.0,2.0
2003-09-26,-1.0266950598688624,14.043880462646484,-0.11559769,2.0,2.0,2.0,2.0,2.0
2003-10-03,-1.008856065280028,14.043880462646484,-0.085624814,3.0,3.0,3.0,3.0,3.0
2003-10-10,-1.6502698647096856,13.274052619934082,-0.045210514,3.0,3.0,3.0,3.0,3.0
2003-10-17,-1.6512772282287653,13.274052619934082,-0.020759644,3.0,3.0,3.0,3.0,3.0
2003-10-24,-1.4495361236522726,13.274052619934082,0.028076414,3.0,3.0,3.0,3.0,3.0
2003-10-31,-1.3407407511504807,13.274052619934082,0.12504813,3.0,3.0,3.0,3.0,3.0
