,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,98.2947858506232,107.2887191772461,103.29461,,,,,
2003-05-02,98.36033887959768,107.2887191772461,103.377365,,,,,
2003-05-09,98.79654996896944,106.10416412353516,103.425705,3.0,3.0,3.0,3.0,3.0
2003-05-16,98.74733418004513,106.10416412353516,103.44704,1.0,1.0,1.0,1.0,1.0
2003-05-23,98.89670731657631,106.10416412353516,103.48533,1.0,1.0,1.0,1.0,1.0
2003-05-30,99.33221151942037,106.10416412353516,103.467995,1.0,1.0,1.0,1.0,1.0
2003-06-06,99.64077718439276,85.80059051513672,103.38624,3.0,3.0,3.0,3.0,3.0
2003-06-13,99.72429526097143,85.80059051513672,103.41405,3.0,3.0,3.0,3.0,3.0
2003-06-20,99.72635631099156,85.80059051513672,103.42392,3.0,3.0,3.0,3.0,3.0
2003-06-27,99.83753892153445,85.80059051513672,103.45053,2.0,2.0,2.0,2.0,2.0
2003-07-04,100.01994292006745,85.80059051513672,103.45804,1.0,1.0,1.0,1.0,1.0
2003-07-11,100.57700401414384,93.609130859375,103.5253,2.0,2.0,2.0,2.0,2.0
2003-07-18,100.50623606703141,93.609130859375,103.469925,2.0,2.0,2.0,2.0,2.0
2003-07-25,98.19351336679439,93.609130859375,103.41309,1.0,1.0,1.0,1.0,1.0
2003-08-01,96.89129647224898,93.609130859375,103.44732,3.0,3.0,3.0,3.0,3.0
2003-08-08,94.9829409089944,98.06232452392578,103.762596,3.0,3.0,3.0,3.0,3.0
2003-08-15,95.12328018666243,98.06232452392578,103.75307,3.0,3.0,3.0,3.0,3.0
2003-08-22,95.03125062241907,98.06232452392578,103.72003,3.0,3.0,3.0,3.0,3.0
2003-08-29,94.65181557394243,98.06232452392578,103.7875,3.0,3.0,3.0,3.0,3.0
2003-09-05,94.36636050339906,98.06232452392578,103.87236,3.0,3.0,3.0,3.0,3.0
2003-09-12,95.92907121875554,111.93370056152344,104.02158,3.0,3.0,3.0,3.0,3.0
2003-09-19,94.33406187191136,111.93370056152344,104.07444,3.0,3.0,3.0,3.0,3.0
2003-09-26,97.70411282973299,111.93370056152344,104.104706,3.0,3.0,3.0,3.0,3.0
2003-10-03,97.7061113969334,111.93370056152344,104.05356,3.0,3.0,3.0,3.0,3.0
2003-10-10,96.96808899537714,117.19847106933594,103.9657,3.0,3.0,3.0,3.0,3.0
2003-10-17,97.00490417632817,117.19847106933594,103.97851,3.0,3.0,3.0,3.0,3.0
2003-10-24,97.21130283091222,117.19847106933594,104.002716,3.0,3.0,3.0,3.0,3.0
2003-10-31,97.31134120186175,117.19847106933594,104.04317,3.0,3.0,3.0,3.0,3.0
2003-11-07,100.20018284384699,108.90174102783203,103.98214,3.0,3.0,3.0,3.0,3.0
2003-11-14,100.25608730157332,108.90174102783203,103.992546,3.0,3.0,3.0,3.0,3.0
2003-11-21,100.39570453245503,108.90174102783203,104.02014,2.0,2.0,2.0,2.0,2.0
2003-11-28,100.63395766574642,108.90174102783203,104.07223,2.0,2.0,2.0,2.0,2.0
2003-12-05,106.28900995855565,108.90174102783203,104.00288,2.0,2.0,2.0,2.0,2.0
2003-12-12,99.80202839236078,108.15056610107422,103.52661,2.0,2.0,2.0,2.0,2.0
2003-12-19,99.81198647762449,108.15056610107422,103.53304,2.0,2.0,2.0,2.0,2.0
2003-12-26,99.77222354314152,108.15056610107422,103.56011,2.0,2.0,2.0,2.0,2.0
2004-01-02,100.61548051412818,108.15056610107422,103.426796,2.0,2.0,2.0,2.0,2.0
2004-01-09,104.80532603553864,100.37125396728516,103.197,2.0,2.0,2.0,2.0,2.0
2004-01-16,104.91678603073915,100.37125396728516,103.20409,2.0,2.0,2.0,2.0,2.0
2004-01-23,104.93649282865869,100.37125396728516,103.23241,2.0,2.0,2.0,2.0,2.0
2004-01-30,105.67026181903795,100.37125396728516,103.24125,2.0,2.0,2.0,2.0,2.0
2004-02-06,102.53239657908556,115.99638366699219,103.270065,2.0,2.0,2.0,2.0,2.0
2004-02-13,104.30247491247378,115.99638366699219,103.29492,2.0,2.0,2.0,2.0,2.0
2004-02-20,104.31124320632374,115.99638366699219,103.30582,2.0,2.0,2.0,2.0,2.0
2004-02-27,105.67995910810303,115.99638366699219,103.30623,2.0,2.0,2.0,2.0,2.0
2004-03-05,105.58529942066137,115.99638366699219,103.31407,2.0,2.0,2.0,2.0,2.0
2004-03-12,108.30880194961964,99.82392120361328,103.241165,2.0,2.0,2.0,2.0,2.0
2004-03-19,108.33127386837356,99.82392120361328,103.260735,2.0,2.0,2.0,2.0,2.0
2004-03-26,108.51400914526434,99.82392120361328,103.29443,2.0,2.0,2.0,2.0,2.0
2004-04-02,108.4494635712645,99.82392120361328,103.273575,2.0,2.0,2.0,2.0,2.0
2004-04-09,106.30566814160841,114.04180145263672,103.112404,2.0,2.0,2.0,2.0,2.0
2004-04-16,106.21824459927113,114.04180145263672,103.10164,2.0,2.0,2.0,2.0,2.0
2004-04-23,106.21163850861991,114.04180145263672,103.11381,2.0,2.0,2.0,2.0,2.0
2004-04-30,105.26594604131016,114.04180145263672,103.044624,1.0,1.0,1.0,1.0,1.0
2004-05-07,103.64863284353848,112.99687957763672,102.94033,1.0,1.0,1.0,1.0,1.0
2004-05-14,105.67586817685246,112.99687957763672,102.91265,1.0,1.0,1.0,1.0,1.0
2004-05-21,103.56977445035606,112.99687957763672,102.91513,1.0,1.0,1.0,1.0,1.0
2004-05-28,103.52726466245123,112.99687957763672,102.86099,1.0,1.0,1.0,1.0,1.0
