,pred,true,mean,lookback_tercile_lag_1yr,lookback_tercile_lag_2yr,lookback_tercile_lag_3yr,lookback_tercile_lag_4yr,lookback_tercile_lag_5yr
2003-04-25,-5.0643652404544905,-2.5863935947418213,-0.38906002,,,,,
2003-05-02,-5.425952149215369,-2.5863935947418213,-0.27291015,,,,,
2003-05-09,-1.7806999017224487,-2.871140718460083,-0.102984786,1.0,1.0,1.0,1.0,1.0
2003-05-16,-1.7790239502907368,-2.871140718460083,-0.090687886,1.0,1.0,1.0,1.0,1.0
2003-05-23,-1.7800308996044363,-2.871140718460083,-0.090413816,1.0,1.0,1.0,1.0,1.0
2003-05-30,-2.2689117416634317,-2.871140718460083,-0.045560814,1.0,1.0,1.0,1.0,1.0
2003-06-06,-6.958402978806791,3.1200106143951416,-0.13057947,1.0,1.0,1.0,1.0,1.0
2003-06-13,-6.9303443396441935,3.1200106143951416,-0.15828933,1.0,1.0,1.0,1.0,1.0
2003-06-20,-6.924568669159743,3.1200106143951416,-0.17178321,1.0,1.0,1.0,1.0,1.0
2003-06-27,-6.985246107080881,3.1200106143951416,-0.18637308,1.0,1.0,1.0,1.0,1.0
2003-07-04,-6.920971856609515,3.1200106143951416,-0.2234903,1.0,1.0,1.0,1.0,1.0
2003-07-11,-2.4258917665061217,-1.4003435373306274,-0.21923731,1.0,1.0,1.0,1.0,1.0
2003-07-18,-2.4175455518206164,-1.4003435373306274,-0.21963271,1.0,1.0,1.0,1.0,1.0
2003-07-25,-2.383887875482119,-1.4003435373306274,-0.21831504,1.0,1.0,1.0,1.0,1.0
2003-08-01,-2.2628208248242663,-1.4003435373306274,-0.20030707,1.0,1.0,1.0,1.0,1.0
2003-08-08,-0.9666013850848074,0.2708682715892792,-0.15104784,1.0,1.0,1.0,1.0,1.0
2003-08-15,-0.9204303210015178,0.2708682715892792,-0.1445846,1.0,1.0,1.0,1.0,1.0
2003-08-22,-6.697381991555791,0.2708682715892792,-0.13025633,2.0,2.0,2.0,2.0,2.0
2003-08-29,-8.125944688591359,0.2708682715892792,-0.15146905,2.0,2.0,2.0,2.0,2.0
2003-09-05,-1.5144457986612108,0.2708682715892792,-0.17207101,1.0,1.0,1.0,1.0,1.0
2003-09-12,-2.0111308681661137,14.429346084594727,-0.14493157,1.0,1.0,1.0,1.0,1.0
2003-09-19,-2.0078274647217977,14.429346084594727,-0.14911325,1.0,1.0,1.0,1.0,1.0
2003-09-26,-1.9820838162728012,14.429346084594727,-0.1463927,1.0,1.0,1.0,1.0,1.0
2003-10-03,-1.7420656697804875,14.429346084594727,-0.10096131,2.0,2.0,2.0,2.0,2.0
2003-10-10,-3.333566423658354,3.505809783935547,-0.0143868495,3.0,3.0,3.0,3.0,3.0
2003-10-17,-3.2672025151818493,3.505809783935547,0.0022114345,3.0,3.0,3.0,3.0,3.0
2003-10-24,-0.27006983891599307,3.505809783935547,0.054698236,2.0,2.0,2.0,2.0,2.0
2003-10-31,0.2865005492105168,3.505809783935547,0.17323418,3.0,3.0,3.0,3.0,3.0
2003-11-07,-2.386278190094726,-5.618732929229736,0.1670802,3.0,3.0,3.0,3.0,3.0
2003-11-14,-2.31441105324378,-5.618732929229736,0.20358118,3.0,3.0,3.0,3.0,3.0
2003-11-21,-2.3090544607968577,-5.618732929229736,0.22224462,3.0,3.0,3.0,3.0,3.0
2003-11-28,-2.285409236728607,-5.618732929229736,0.2352231,3.0,3.0,3.0,3.0,3.0
2003-12-05,-2.777057609961182,-5.618732929229736,0.13351102,2.0,2.0,2.0,2.0,2.0
2003-12-12,-0.9623597087546414,-0.6352245807647705,-0.122793615,2.0,2.0,2.0,2.0,2.0
2003-12-19,-1.0042327213924103,-0.6352245807647705,-0.14549872,2.0,2.0,2.0,2.0,2.0
2003-12-26,-3.2634960259913557,-0.6352245807647705,-0.16737981,2.0,2.0,2.0,2.0,2.0
2004-01-02,-3.2981065366967033,-0.6352245807647705,-0.2862445,2.0,2.0,2.0,2.0,2.0
2004-01-09,0.9139691592480703,-4.0957512855529785,-0.4509639,3.0,3.0,3.0,3.0,3.0
2004-01-16,0.9823185319913517,-4.0957512855529785,-0.44021565,3.0,3.0,3.0,3.0,3.0
2004-01-23,0.7596749632855355,-4.0957512855529785,-0.44442758,3.0,3.0,3.0,3.0,3.0
2004-01-30,0.7222904165384918,-4.0957512855529785,-0.47336,2.0,2.0,2.0,2.0,2.0
2004-02-06,6.585349945314207,4.682000637054443,-0.55029774,2.0,2.0,2.0,2.0,2.0
2004-02-13,7.33710520590825,4.682000637054443,-0.5406282,2.0,2.0,2.0,2.0,2.0
2004-02-20,7.303225228607681,4.682000637054443,-0.52788424,2.0,2.0,2.0,2.0,2.0
2004-02-27,6.554174478727254,4.682000637054443,-0.58335716,2.0,2.0,2.0,2.0,2.0
2004-03-05,6.1489109125689305,4.682000637054443,-0.6002177,1.0,1.0,1.0,1.0,1.0
2004-03-12,2.987293039172495,7.361138820648193,-0.71718127,2.0,2.0,2.0,2.0,2.0
2004-03-19,3.0164820249233126,7.361138820648193,-0.6963519,2.0,2.0,2.0,2.0,2.0
2004-03-26,2.830899415778904,7.361138820648193,-0.6775145,1.0,1.0,1.0,1.0,1.0
2004-04-02,2.6080785645015463,7.361138820648193,-0.68774515,1.0,1.0,1.0,1.0,1.0
2004-04-09,4.098916225323369,-2.552321195602417,-0.75603634,1.0,1.0,1.0,1.0,1.0
2004-04-16,3.986498439418967,-2.552321195602417,-0.75236005,1.0,1.0,1.0,1.0,1.0
2004-04-23,3.8469304054935103,-2.552321195602417,-0.71522516,1.0,1.0,1.0,1.0,1.0
2004-04-30,0.7206953927897275,-2.552321195602417,-0.7171478,1.0,1.0,1.0,1.0,1.0
2004-05-07,1.3381936312632297,-2.4825189113616943,-0.6824714,1.0,1.0,1.0,1.0,1.0
2004-05-14,1.3958216327436168,-2.4825189113616943,-0.65123445,1.0,1.0,1.0,1.0,1.0
2004-05-21,1.4041471805622097,-2.4825189113616943,-0.62272614,1.0,1.0,1.0,1.0,1.0
2004-05-28,1.3790663054553227,-2.4825189113616943,-0.6362498,1.0,1.0,1.0,1.0,1.0
2004-06-04,1.345090680579916,-2.4825189113616943,-0.6374315,1.0,1.0,1.0,1.0,1.0
2004-06-11,-1.1102706589693196,2.630060911178589,-0.51896757,2.0,2.0,2.0,2.0,2.0
2004-06-18,-1.0488273467696834,2.630060911178589,-0.5331085,2.0,2.0,2.0,2.0,2.0
2004-06-25,-1.0570815298500862,2.630060911178589,-0.5484536,2.0,2.0,2.0,2.0,2.0
2004-07-02,-1.0087493217198193,2.630060911178589,-0.5497791,2.0,2.0,2.0,2.0,2.0
2004-07-09,-0.9496424502971403,4.982588291168213,-0.5032363,2.0,2.0,2.0,2.0,2.0
2004-07-16,-0.9529073437013571,4.982588291168213,-0.50307786,2.0,2.0,2.0,2.0,2.0
2004-07-23,-0.9353337121942491,4.982588291168213,-0.48223376,2.0,2.0,2.0,2.0,2.0
2004-07-30,-0.8893152589639993,4.982588291168213,-0.4995296,2.0,2.0,2.0,2.0,2.0
2004-08-06,0.3832977101176448,10.284350395202637,-0.51115066,2.0,2.0,2.0,2.0,2.0
2004-08-13,0.4681745342026652,10.284350395202637,-0.4892566,2.0,2.0,2.0,2.0,2.0
2004-08-20,0.5031824061450575,10.284350395202637,-0.46786603,1.0,1.0,1.0,1.0,1.0
2004-08-27,0.6560263495527883,10.284350395202637,-0.4438966,1.0,1.0,1.0,1.0,1.0
2004-09-03,0.7784933720191807,10.284350395202637,-0.42319703,1.0,1.0,1.0,1.0,1.0
2004-09-10,6.3399575150969705,5.568997859954834,-0.41497856,3.0,2.0,2.0,2.0,2.0
2004-09-17,6.547051499923218,5.568997859954834,-0.3880425,3.0,2.0,2.0,2.0,2.0
2004-09-24,6.691708194075589,5.568997859954834,-0.35157314,2.0,2.0,2.0,2.0,2.0
2004-10-01,6.924630337975312,5.568997859954834,-0.3141331,3.0,2.0,2.0,2.0,2.0
2004-10-08,6.097590050775245,1.8656344413757324,-0.16522916,2.0,2.0,2.0,2.0,2.0
2004-10-15,6.1787809206482605,1.8656344413757324,-0.137445,2.0,2.0,2.0,2.0,2.0
2004-10-22,5.990109351726213,1.8656344413757324,-0.115716204,2.0,2.0,2.0,2.0,2.0
2004-10-29,5.868180865660245,1.8656344413757324,-0.06024951,2.0,2.0,2.0,2.0,2.0
2004-11-05,5.298385982889556,1.8656344413757324,0.018250447,2.0,2.0,2.0,2.0,2.0
2004-11-12,2.2152303693132405,10.123376846313477,0.15706527,1.0,1.0,1.0,1.0,1.0
2004-11-19,2.1373809302610955,10.123376846313477,0.15624587,1.0,1.0,1.0,1.0,1.0
2004-11-26,2.109664614769236,10.123376846313477,0.15683971,1.0,1.0,1.0,1.0,1.0
2004-12-03,2.0640348881444384,10.123376846313477,0.14716513,1.0,1.0,1.0,1.0,1.0
2004-12-10,0.7990226724581159,2.343813896179199,0.098406546,1.0,1.0,1.0,1.0,1.0
