word,Topic,freq
fuel,1,1634275
shell,1,437839
bp,1,413288
vitol,1,286592
mrpl,1,234780
hsfo,1,202436
mop,1,180402
exxon,1,177191
glencor,1,168045
hin.leong,1,124596
reform,1,123346
chevron,1,123090
petrochina,1,118027
trafigura,1,111511
ceypetco,1,108626
bpcl,1,108310
bapco,1,94880
essar,1,93496
pertamina,1,90876
forti,1,86201
adnoc,1,85407
petrolimex,1,81765
unipec,1,81395
gunvor,1,78931
aramco,1,77361
lukoil,1,75971
ongc,1,75107
hpcl,1,71888
statoil,1,70330
moga,1,68861
sinopec,1,60448
tasweeq,1,58824
petron,1,49428
mercuria,1,49062
platt,1,48552
sietco,1,45395
pv.oil,1,44355
saigon.petro,1,43488
petral,1,37483
pemex,1,34878
egpc,1,29745
steam,1,27281
interrupt,1,26117
emarat,1,25578
socar,1,25133
petrosa,1,24543
hazira,1,23617
conoco,1,22642
kero,1,19187
lanka.ioc,1,17182
enoc,1,16364
bangchak,1,16313
valv,1,14240
totsa,1,13788
sudanes,1,11611
engen,1,9702
samref,1,8823
banoco,1,8617
brightoil,1,7110
alki,1,6933
bunga.kekwa,1,6796
visbreak,1,6259
tail,1,5153
mabanaft,1,4262
thaioil,1,4185
energen,1,3805
sudapet,1,3654
benzen,1,3030
cogener,1,2208
vacuum.distil,1,1919
flue,1,941
cumen,1,736
emerg.shutdown,1,555
isom,1,549
mean.platt.singapor,1,272
phenol,1,195
desalt,1,162
oil,2,4589937
barrel,2,1352220
brent,2,586493
refin,2,465014
crude.oil,2,444588
opec,2,428056
petroleum,2,335436
heat,2,311065
diesel,2,310190
barg,2,212871
distil,2,187300
ipe,2,175985
tanker,2,175208
sulphur,2,155916
gallon,2,145337
eia,2,141581
blend,2,102844
gulf.coast,2,79920
nwe,2,78188
ara,2,71994
energi.inform.administr,2,62964
bunker,2,53614
api,2,49490
padd,2,49332
usg,2,41218
cartel,2,33029
unlead,2,32709
crude.import,2,30774
light.crude,2,30585
crack.spread,2,30046
middl.distil,2,28921
american.petroleum.institut,2,26857
iea,2,26308
sweet.crude,2,24095
feedstock,2,21912
intern.energi.agenc,2,18222
mopag,2,17376
embargo,2,14382
straight.run,2,14053
crude.distil.unit,2,13698
depart.energi,2,13560
spr,2,10389
netback,2,10369
lighter,2,9066
doe,2,8066
strateg.petroleum.reserv,2,7323
amsterdam.rotterdam.antwerp,2,6876
viscos,2,6577
intern.petroleum.exchang,2,6379
reformul.gasolin,2,6249
fluid.catalyt.cracker,2,6106
spare.capac,2,6087
aframax,2,5894
float.storag,2,5569
util.rate,2,4632
petroleo.de.venezuela,2,4298
residu.fuel.oil,2,4209
hormuz,2,3728
product.quota,2,3233
paraffin,2,3052
utilis.rate,2,2873
light.end,2,2636
charter.rate,2,1890
arabian.light,2,1551
persian.gulf,2,1365
worldscal,2,1331
equilibrium,2,1175
namepl.capac,2,1159
arab.oil.embargo,2,1123
water.treatment,2,1094
gross.refin.margin,2,954
centistok,2,844
ballast,2,669
demurrag,2,634
ulcc,2,523
world.energi.outlook,2,427
forward.demand,2,288
brass.river.crude,2,241
bonni.crude,2,218
crush.spread,2,146
explor,3,163703
drill,3,156383
offshor,3,147090
rig,3,106162
shale,3,67395
gulf.mexico,3,57821
spill,3,51734
royal.dutch.shell,3,42088
conocophillip,3,35241
