word,Topic,freq
oil,1,4589937
fuel,1,1634275
barrel,1,1352220
brent,1,586493
refin,1,465014
crude.oil,1,444588
opec,1,428056
petroleum,1,335436
heat,1,311065
diesel,1,310190
barg,1,212871
distil,1,187300
ipe,1,175985
sulphur,1,155916
gallon,1,145337
eia,1,141581
blend,1,102844
gulf.coast,1,79920
nwe,1,78188
aramco,1,77361
ara,1,71994
energi.inform.administr,1,62964
bunker,1,53614
api,1,49490
padd,1,49332
cartel,1,33029
unlead,1,32709
crude.import,1,30774
light.crude,1,30585
crack.spread,1,30046
middl.distil,1,28921
american.petroleum.institut,1,26857
iea,1,26308
sweet.crude,1,24095
feedstock,1,21912
kero,1,19187
intern.energi.agenc,1,18222
mopag,1,17376
embargo,1,14382
straight.run,1,14053
crude.distil.unit,1,13698
depart.energi,1,13560
spr,1,10389
netback,1,10369
lighter,1,9066
doe,1,8066
strateg.petroleum.reserv,1,7323
amsterdam.rotterdam.antwerp,1,6876
viscos,1,6577
intern.petroleum.exchang,1,6379
reformul.gasolin,1,6249
fluid.catalyt.cracker,1,6106
spare.capac,1,6087
float.storag,1,5569
util.rate,1,4632
residu.fuel.oil,1,4209
hormuz,1,3728
product.quota,1,3233
paraffin,1,3052
utilis.rate,1,2873
light.end,1,2636
arabian.light,1,1551
persian.gulf,1,1365
equilibrium,1,1175
namepl.capac,1,1159
arab.oil.embargo,1,1123
gross.refin.margin,1,954
centistok,1,844
demurrag,1,634
world.energi.outlook,1,427
forward.demand,1,288
mean.platt.singapor,1,272
brass.river.crude,1,241
bonni.crude,1,218
crush.spread,1,146
shell,2,437839
bp,2,413288
vitol,2,286592
hsfo,2,202436
mop,2,180402
exxon,2,177191
glencor,2,168045
hin.leong,2,124596
reform,2,123346
chevron,2,123090
petrochina,2,118027
trafigura,2,111511
forti,2,86201
unipec,2,81395
gunvor,2,78931
lukoil,2,75971
statoil,2,70330
moga,2,68861
mercuria,2,49062
platt,2,48552
sietco,2,45395
pemex,2,34878
steam,2,27281
interrupt,2,26117
socar,2,25133
conoco,2,22642
enoc,2,16364
valv,2,14240
banoco,2,8617
brightoil,2,7110
alki,2,6933
bunga.kekwa,2,6796
visbreak,2,6259
tail,2,5153
mabanaft,2,4262
sudapet,2,3654
cogener,2,2208
vacuum.distil,2,1919
flue,2,941
cumen,2,736
emerg.shutdown,2,555
isom,2,549
desalt,2,162
explor,3,163703
drill,3,156383
offshor,3,147090
rig,3,106162
shale,3,67395
gulf.mexico,3,57821
spill,3,51734
royal.dutch.shell,3,42088
conocophillip,3,35241
onshor,3,35152
upstream,3,29077
explor.product,3,25961
downstream,3,24794
baker.hugh,3,23070
extract,3,20143
deepwat,3,18841
halliburton,3,13566
apach,3,12742
frack,3,10598
schlumberg,3,10593
subsea,3,10205
texaco,3,10129
transocean,3,9961
e.p,3,8547
horizont,3,7081
marathon.oil,3,6731
fractur,3,6127
marcellus,3,5722
devon.energi,3,5205
gulf.oil,3,5137
shell.oil,3,4876
prove.reserv,3,4040
proven.reserv,3,3187
utica,3,3182
british.petroleum,3,2909
wellhead,3,2603
float.product,3,2395
barnett,3,2290
apprais.well,3,2285
seismic.survey,3,2140
haynesvill,3,2102
associ.gas,3,1980
phillip.petroleum,3,1930
spud,3,1882
topsid,3,1768
pdp,3,1448
convent.oil,3,1382
develop.well,3,1339
well.complet,3,1339
well.test,3,1270
wildcat,3,1130
direct.drill,3,1090
reserv.life,3,1018
coal.bed.methan,3,895
declin.rate,3,857
liquid.natur.gas,3,823
enhanc.oil.recoveri,3,752
liquid.pipelin,3,554
well.head,3,516
reserv.replac.ratio,3,510
kashagan.field,3,502
standard.oil,3,501
inject.well,3,491
dri.hole,3,478
sedimentari,3,477
wirelin,3,426
umbil,3,419
conting.resourc,3,395
kuwait.oil.compani,3,393
derrick,3,381
eor,3,337
licenc.round,3,297
well.intervent,3,292
initi.product.rate,3,272
texa.railroad.commiss,3,225
well.case,3,224
water.flood,3,218
coil.tube,3,162
alkan,3,151
recoveri.factor,3,140
poros,3,138
measur.depth,3,131
api.grade,3,106
mrpl,4,234780
ceypetco,4,108626
bpcl,4,108310
petrochem,4,97251
bapco,4,94880
essar,4,93496
pertamina,4,90876
adnoc,4,85407
petrolimex,4,81765
ongc,4,75107
hpcl,4,71888
sinopec,4,60448
tasweeq,4,58824
petron,4,49428
pv.oil,4,44355
saigon.petro,4,43488
petral,4,37483
egpc,4,29745
emarat,4,25578
cement,4,25367
petrosa,4,24543
hazira,4,23617
lpg,4,22230
propan,4,19869
lanka.ioc,4,17182
bangchak,4,16313
totsa,4,13788
sudanes,4,11611
engen,4,9702
samref,4,8823
butan,4,7757
liquefi.petroleum.gas,4,7363
octan,4,6378
ethan,4,6168
olefin,4,4874
thaioil,4,4185
oxygen,4,4160
energen,4,3805
benzen,4,3030
polym,4,2492
urea,4,2258
tertiari,4,2174
ether,4,1877
methyl,4,1805
butyl,4,1417
high.densiti,4,1277
resin,4,1239
paraxylen,4,1110
mobil.oil,4,965
pvc,4,860
butadien,4,685
xylen,4,684
styren,4,630
glycol,4,624
toluen,4,357
ethyl,4,332
aviat.gasolin,4,302
polyvinyl.chlorid,4,274
linear.low,4,243
polyurethan,4,219
purifi.terephthal.acid,4,196
phenol,4,195
avga,4,189
melamin,4,135
epoxi,4,122
lng,5,230340
tanker,5,175208
henri.hub,5,61270
liquefi.natur.gas,5,56191
usg,5,41218
ocean,5,39732
zeebrugg,5,28521
transco,5,28097
atmospher,5,19164
degre.day,5,17709
heat.degre.day,5,6846
aframax,5,5894
cool.degre.day,5,5843
compress,5,5587
liquefact,5,4602
cng,5,3294
charter.rate,5,1890
american.gas.associ,5,1574
worldscal,5,1331
water.treatment,5,1094
compress.natur.gas,5,849
ballast,5,669
baltic.dri.index,5,664
ulcc,5,523
slug,5,393
pipelin,6,553368
wti,6,447936
lls,6,226374
wts,6,145045
cush,6,58173
bakken,6,48127
west.texa.intermedi,6,40524
midstream,6,24475
heavi.louisiana.sweet,6,22601
enbridg,6,21413
permian,6,17767
sunoco,6,13265
heavi.crude,6,11705
heavi.oil,6,9032
eagl.ford,6,8749
suncor.energi,6,8598
occident.petroleum,6,8115
permian.basin,6,7151
imperi.oil,6,5254
light.oil,6,5070
syncrud,6,4702
petroleo.de.venezuela,6,4298
nustar,6,4107
tar,6,3834
plain.american,6,3750
synthet.crude,6,3538
niobrara,6,2819
tank.farm,6,1560
api.graviti,6,1284
nation.energi.board,6,1145
granit.wash,6,1034
orimuls,6,786
light.lousiana.sweet,6,542
liquid.petroleum.gas,6,511
degre.api,6,460
sagd,6,168
cetan,6,133
minimum.oper.level,6,115
gas,7,2436878
energi,7,1687613
coal,7,585565
outag,7,578661
nuclear,7,428526
electr,7,368498
generat,7,265167
emiss,7,237492
carbon,7,216705
equiti,7,208888
mine,7,207297
lead,7,188993
addit,7,170593
renew,7,155039
reactor,7,146455
climat,7,142240
solar,7,125161
case,7,115313
miner,7,106093
grid,7,93144
hydro,7,76179
balanc.volum,7,73983
green,7,68923
environ,7,68541
power.generat,7,67016
climat.chang,7,59886
meter,7,57491
farm,7,54986
pollut,7,52355
core,7,46676
conserv,7,44416
therm,7,39483
biofuel,7,37349
turbin,7,37022
resid,7,35942
enron,7,35676
uranium,7,32424
coke,7,31060
fossil,7,27874
carbon.dioxid,7,27116
epa,7,25587
ferc,7,24985
biodiesel,7,22060
global.warm,7,21508
abandon,7,17451
blow,7,16402
transform,7,14879
methan,7,11218
smelter,7,10735
anglo.american,7,9956
lignit,7,9823
kyoto.protocol,7,9285
environment.protect.agenc,7,9282
combin.cycl,7,8279
emiss.trade.scheme,7,7119
geotherm,7,6794
peak.demand,7,6198
ofgem,7,6192
enrich.uranium,7,5808
air.pollut,7,5497
radioact,7,5188
cap.trade,7,4739
plutonium,7,2098
clean.air.act,7,2068
independ.power.produc,7,1969
certifi.emiss.reduct,7,1967
anthracit,7,1941
clean.develop.mechan,7,1772
psc,7,1764
municip.util,7,1649
calorif.valu,7,1389
tennesse.valley.author,7,1366
fusion,7,1259
petrodollar,7,1048
dekatherm,7,1037
vanadium,7,982
coolant,7,962
base.load,7,791
peak.load,7,716
load.factor,7,690
european.energi.exchang,7,678
bdi,7,650
cathod,7,646
high.enrich,7,624
emul,7,612
heavi.water,7,596
anod,7,574
nation.balanc.point,7,555
european.union.allow,7,550
flexibl.mechan,7,468
vortex,7,445
ver,7,444
environment.impact.studi,7,414
brownout,7,411
joint.implement,7,379
synga,7,376
reforest,7,333
spark.spread,7,322
aau,7,314
nation.alloc.plan,7,310
assign.amount.unit,7,290
volatil.organ.compound,7,255
thorium,7,235
ieta,7,232
water.cut,7,193
capac.margin,7,178
fast.breeder.reactor,7,173
coalesc,7,162
region.electr.compani,7,160
new.entrant.reserv,7,150
deplet.uranium,7,125
bonnevill.power.author,7,100
