"","X","cluster"
"2","2000-12-01_1",1
"9","2001-01-01_1",1
"17","2001-02-01_2",1
"24","2001-03-01_2",1
"31","2001-04-01_2",1
"38","2001-05-01_2",1
"45","2001-06-01_2",1
"53","2001-07-01_3",1
"60","2001-08-01_3",1
"66","2001-09-01_2",1
"73","2001-10-01_2",1
"80","2001-11-01_2",1
"86","2001-12-01_2",1
"93","2002-01-01_2",1
"101","2002-02-01_3",1
"108","2002-03-01_2",1
"115","2002-04-01_2",1
"121","2002-05-01_2",1
"126","2002-06-01_1",1
"132","2002-07-01_1",1
"139","2002-08-01_1",1
"145","2002-09-01_1",1
"152","2002-10-01_1",1
"159","2002-11-01_1",1
"166","2002-12-01_1",1
"173","2003-01-01_1",1
"181","2003-02-01_1",1
"188","2003-03-01_1",1
"196","2003-04-01_1",1
"204","2003-05-01_1",1
"212","2003-06-01_1",1
"220","2003-07-01_1",1
"228","2003-08-01_1",1
"236","2003-09-01_1",1
"244","2003-10-01_1",1
"252","2003-11-01_1",1
"260","2003-12-01_1",1
"267","2004-01-01_1",1
"274","2004-02-01_1",1
"284","2004-03-01_4",1
"290","2004-04-01_2",1
"298","2004-05-01_2",1
"306","2004-06-01_2",1
"314","2004-07-01_2",1
"323","2004-08-01_3",1
"331","2004-09-01_3",1
"338","2004-10-01_2",1
"346","2004-11-01_2",1
"354","2004-12-01_2",1
"362","2005-01-01_2",1
"370","2005-02-01_2",1
"377","2005-03-01_1",1
"384","2005-04-01_1",1
"391","2005-05-01_1",1
"398","2005-06-01_1",1
"407","2005-07-01_3",1
"414","2005-08-01_3",1
"421","2005-09-01_3",1
"427","2005-10-01_3",1
"433","2005-11-01_3",1
"439","2005-12-01_3",1
"445","2006-01-01_3",1
"451","2006-02-01_3",1
"457","2006-03-01_3",1
"463","2006-04-01_3",1
"469","2006-05-01_3",1
"475","2006-06-01_3",1
"481","2006-07-01_3",1
"488","2006-08-01_3",1
"494","2006-09-01_3",1
"500","2006-10-01_3",1
"506","2006-11-01_3",1
"510","2006-12-01_1",1
"518","2007-01-01_3",1
"522","2007-02-01_1",1
"528","2007-03-01_1",1
"534","2007-04-01_1",1
"541","2007-05-01_1",1
"547","2007-06-01_1",1
"554","2007-07-01_1",1
"560","2007-08-01_1",1
"567","2007-09-01_1",1
"573","2007-10-01_1",1
"579","2007-11-01_1",1
"586","2007-12-01_1",1
"592","2008-01-01_1",1
"598","2008-02-01_1",1
"605","2008-03-01_2",1
"612","2008-04-01_3",1
"618","2008-05-01_3",1
"624","2008-06-01_2",1
"631","2008-07-01_3",1
"637","2008-08-01_3",1
"643","2008-09-01_3",1
"649","2008-10-01_3",1
"655","2008-11-01_3",1
"661","2008-12-01_3",1
"667","2009-01-01_3",1
"673","2009-02-01_3",1
"678","2009-03-01_3",1
"684","2009-04-01_3",1
"690","2009-05-01_3",1
"696","2009-06-01_3",1
"702","2009-07-01_3",1
"708","2009-08-01_3",1
"714","2009-09-01_3",1
"719","2009-10-01_3",1
"725","2009-11-01_3",1
"731","2009-12-01_3",1
"737","2010-01-01_3",1
"743","2010-02-01_3",1
"749","2010-03-01_3",1
"754","2010-04-01_3",1
"759","2010-05-01_3",1
"764","2010-06-01_3",1
"769","2010-07-01_3",1
"774","2010-08-01_3",1
"779","2010-09-01_3",1
"784","2010-10-01_3",1
"789","2010-11-01_3",1
"794","2010-12-01_3",1
"799","2011-01-01_3",1
"803","2011-02-01_2",1
"809","2011-03-01_3",1
"814","2011-04-01_3",1
"819","2011-05-01_3",1
"824","2011-06-01_3",1
"829","2011-07-01_3",1
"833","2011-08-01_2",1
"839","2011-09-01_3",1
"847","2011-10-01_4",1
"854","2011-11-01_4",1
"861","2011-12-01_4",1
"867","2012-01-01_4",1
"874","2012-02-01_4",1
"881","2012-03-01_4",1
"887","2012-04-01_3",1
"894","2012-05-01_3",1
"901","2012-06-01_3",1
"907","2012-07-01_3",1
"913","2012-08-01_3",1
"919","2012-09-01_3",1
"925","2012-10-01_3",1
"931","2012-11-01_3",1
"937","2012-12-01_3",1
"942","2013-01-01_3",1
"947","2013-02-01_3",1
"952","2013-03-01_3",1
"957","2013-04-01_3",1
"962","2013-05-01_3",1
"967","2013-06-01_3",1
"972","2013-07-01_3",1
"977","2013-08-01_3",1
"982","2013-09-01_3",1
"1560","2022-12-01_3",1
"1565","2023-01-01_2",1
"1572","2023-02-01_3",1
"1578","2023-03-01_3",1
"987","2013-10-01_3",2
"992","2013-11-01_3",2
"997","2013-12-01_3",2
"1002","2014-01-01_3",2
"1007","2014-02-01_3",2
"1012","2014-03-01_3",2
"1017","2014-04-01_3",2
"1021","2014-05-01_2",2
"1027","2014-06-01_3",2
"1032","2014-07-01_3",2
"1037","2014-08-01_3",2
"1043","2014-09-01_4",2
"1047","2014-10-01_3",2
"1052","2014-11-01_3",2
"1057","2014-12-01_3",2
"1062","2015-01-01_3",2
"1067","2015-02-01_3",2
"1072","2015-03-01_3",2
"1077","2015-04-01_3",2
"1081","2015-05-01_2",2
"1086","2015-06-01_2",2
"1091","2015-07-01_2",2
"1097","2015-08-01_4",2
"1102","2015-09-01_4",2
"1105","2015-10-01_2",2
"1110","2015-11-01_2",2
"1115","2015-12-01_2",2
"1122","2016-01-01_4",2
"1127","2016-02-01_4",2
"1130","2016-03-01_2",2
"1135","2016-04-01_2",2
"1140","2016-05-01_2",2
"1145","2016-06-01_2",2
"1150","2016-07-01_2",2
"1155","2016-08-01_2",2
"1160","2016-09-01_2",2
"1165","2016-10-01_2",2
"1170","2016-11-01_2",2
"1175","2016-12-01_2",2
"1181","2017-01-01_3",2
"1186","2017-02-01_3",2
"1190","2017-03-01_2",2
"1195","2017-04-01_2",2
"1201","2017-05-01_3",2
"1205","2017-06-01_2",2
"1211","2017-07-01_3",2
"1215","2017-08-01_2",2
"1221","2017-09-01_3",2
"1226","2017-10-01_3",2
"1231","2017-11-01_3",2
"1236","2017-12-01_3",2
"1241","2018-01-01_3",2
"1246","2018-02-01_3",2
"1251","2018-03-01_3",2
"1256","2018-04-01_3",2
"1262","2018-05-01_4",2
"1267","2018-06-01_4",2
"1272","2018-07-01_4",2
"1277","2018-08-01_4",2
"1282","2018-09-01_4",2
"1287","2018-10-01_4",2
"1292","2018-11-01_4",2
"1297","2018-12-01_4",2
"1302","2019-01-01_4",2
"1307","2019-02-01_4",2
"1312","2019-03-01_4",2
"1317","2019-04-01_4",2
"1322","2019-05-01_4",2
"1327","2019-06-01_4",2
"1332","2019-07-01_4",2
"1337","2019-08-01_4",2
"1342","2019-09-01_4",2
"1348","2019-10-01_4",2
"1354","2019-11-01_4",2
"1359","2019-12-01_4",2
"1365","2020-01-01_4",2
"1369","2020-02-01_3",2
"1375","2020-03-01_4",2
"1380","2020-04-01_4",2
"1385","2020-05-01_4",2
"1390","2020-06-01_4",2
"1395","2020-07-01_4",2
"1401","2020-08-01_4",2
"1406","2020-09-01_4",2
"1412","2020-10-01_4",2
"1417","2020-11-01_4",2
"1423","2020-12-01_4",2
"1429","2021-01-01_4",2
"1435","2021-02-01_4",2
"1441","2021-03-01_4",2
"1447","2021-04-01_4",2
"1453","2021-05-01_4",2
"1459","2021-06-01_4",2
"1465","2021-07-01_4",2
"1471","2021-08-01_4",2
